                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19,
,,captain.akb,https://www.tiktok.com/@captain.akb,"1,498",,,TRUE,FALSE,,สาขา Central Ladprao13 พ.ค. 69 - 07:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,xviii__8,https://www.tiktok.com/@xviii__8,10.4K,,,TRUE,,,สาขา Central Eastville14 พ.ค. 69 - 09:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,flukexway,https://www.tiktok.com/@flukexway,"4,119",,,TRUE,TRUE,TRUE,สาขา Central Ladprao14 พ.ค. 69 - 11:00,"แกกกก โปรคุ้มตะโกน ☕️ ZUS Coffee เมนูเย็น 49.- เมนูปั่น 69.- ปรับสูตรความหวานใหม่แต่ฟินเหมือนเดิม เฉพาะสั่งผ่าน ZUS Coffee ทั้งรับที่ร้านและเดลิเวอรี 18-25 พ.ค. 69 นี้นะ ไปจัดได้เล้ยยย

#zuscoffee #zuscoffeeth #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/drive/folders/1LVCueJz3NiUPi2sFyNi1AFlpGqSzFIZG?usp=sharing,ผ่าน,"0.09 Iced Buttercreme Chocolate (สะกดให้ถูกต้อง)

+แปะ AW ไปเพิ่มช่วงที่กำลังพูดถึงปรับระดับความหวานใหม่ https://drive.google.com/drive/folders/1pF9VCKyRXEdMy8QZfeBtWCAvx4thuJSy",https://drive.google.com/file/d/1lpMNrfhVcs5ZChVH4P9X1Njnu7V18cVk/view?usp=sharing,ผ่าน,ผ่าน (ฝากแคปชั่น ZUS Coffee ยังร่วมนโยบายกับสธ. ปรับระดับความหวานใหม่ หวานน้อยลงเเต่อร่อยเท่าเดิม ปรับตามสไตล์อินฟลู),"Tiktok : https://vt.tiktok.com/ZSxruEB1d/
IG Reels : https://www.instagram.com/reel/DYhYmWfPbIE/
IG Post : https://www.instagram.com/p/DYhY54mj1DU/",#0JX50dfQL2JYtUR4uKUiq/EJYgJeiS34n2cXSpZ0+ml3vlAL8EuFRO8tDpnxOa4=,966,129,0,3,4,838,19,4,2,0,0,KOC,19/5/69
,,bestktsz,https://www.tiktok.com/@bestktsz,20.1K,,,TRUE,,,สาขา Central Ladprao14 พ.ค. 69 - 11:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,bbeembenja,https://www.tiktok.com/@bbeembenja,21.9K,,,TRUE,TRUE,,สาขาวานิช เพลส อารีย์14 พ.ค. 69 - 03:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,gimjipingping,https://www.tiktok.com/@gimjipingping,185.2K,,,TRUE,,,สาขา Central Ladprao13 พ.ค. 69 - 05:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,095bank,https://www.tiktok.com/@095bank,"12,300",,,TRUE,TRUE,TRUE,สาขา Central พระราม 914 พ.ค. 69 - 07:00,ZUS COFFEE มีโปรแรง เหลือ 49 บาท รีบไปกันเลย #zuscoffee #zuscoffeeth #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด,https://drive.google.com/drive/folders/1HMXL9Q5tsPwZgYM28_ZS2GBNrNt3xPXt,อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย),อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย),https://drive.google.com/drive/folders/1HMXL9Q5tsPwZgYM28_ZS2GBNrNt3xPXt,ผ่าน,ผ่าน (ฝากแคปชั่น ZUS Coffee ยังร่วมนโยบายกับสธ. ปรับระดับความหวานใหม่ หวานน้อยลงเเต่อร่อยเท่าเดิม ปรับตามสไตล์อินฟลู),"Tiktok : https://vt.tiktok.com/ZSxrdvu7Q/
IG Reels : https://www.instagram.com/reel/DYhAKUjpPOt/
Facebook : https://www.facebook.com/share/r/1VHzJXJ2xA/",#iYLPx90jPje5wCkq8LrDx6PqXEf27WA+2Z3rEUvKgYYDDp4vIRyZWy7oDAFwD6Q=,"1,695",43,3,1,0,"1,137","1,137",55,3,0,0,KOC,19/5/69
/,Done,paerkmcn,https://www.tiktok.com/@paerkmcn,"2,060",,,TRUE,TRUE,TRUE,สาขา Central Westgate13 พ.ค. 69 - 13:00,"Buttercreme ของ ZUS COFFEE คือดีเกินราคาอะ ☕✨

ตอนนี้มีโปรเริ่มต้นแค่ 49 บาท
เฉพาะผ่าน ZUS App น้า
#waแล้วต้องแซ่บ #iiws #ZUSCOFFEE #ZUSCOFFEETH #ดื่มZUSไม่มีทรุด #อ่านว่าไม่ใช่ทรุด #Buttercreme",https://drive.google.com/drive/folders/17gCLxxDrC1MmcqumaJk1twqlmIiICcio,"- 0.01 เขียนชื่อแบรนด์ผิด แก้เป็น ZUS COFFEE
- 0.05 รบกวนอธิบายโปรโมชั่นใหม่ทั้งหมดตามบรีฟงาน
> เมนูเย็น ทุกเมนู ลดเหลือ 49 บาท
> เมนูเฟรปเป้ ทุกเมนู ลดเหลือ 69 บาท
- รบกวนแก้ไขการออกเสียงตลอดทั้งคลิป บัตเตอร์ครีม เปลี่ยนเป็น บัตเตอร์เคร็ม
- อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)
","- 0.01 เขียนชื่อแบรนด์ผิด แก้เป็น ZUS COFFEE
- 0.05 รบกวนอธิบายโปรโมชั่นใหม่ทั้งหมดตามบรีฟงาน
> เมนูเย็น ทุกเมนู ลดเหลือ 49 บาท
> เมนูเฟรปเป้ ทุกเมนู ลดเหลือ 69 บาท
- รบกวนแก้ไขการออกเสียงตลอดทั้งคลิป บัตเตอร์ครีม เปลี่ยนเป็น บัตเตอร์เคร็ม
- อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)
",https://drive.google.com/drive/folders/17gCLxxDrC1MmcqumaJk1twqlmIiICcio?usp=drive_link,ยังแก้ไม่ครบ,"- 0.01 เขียนชื่อแบรนด์ผิด แก้เป็น ZUS COFFEE
- 0.10 แก้ไขคำว่า Iced 
-อาจจะใส่เพลงคลอๆ สไตล์ คาเฟ่ สดใส
 (ฝากแคปชั่น ZUS Coffee ยังร่วมนโยบายกับสธ. ปรับระดับความหวานใหม่ หวานน้อยลงเเต่อร่อยเท่าเดิม ปรับตามสไตล์อินฟลู)","Tiktok : https://vt.tiktok.com/ZSxARJnm2/
IG Reels : https://www.instagram.com/reel/DYjmfoHARM7/?igsh=MWo3dXp4cGhyb3c4NQ==
IG Post : https://www.instagram.com/p/DYl1jW3k8rP/?igsh=dDhvenl0ZnJpM25v",#h777eDyv3FkRhXasCBfhNPmGAJJlEw4E1M/1YuVfqkN5DGVWUiJtRq63sHzEIDw=,199,9,0,0,0,961,24,0,1,0,0,KOC,20/5/69
,,kimmyoiu,https://www.tiktok.com/@kimmyoiu,10.1K,,,TRUE,,,สาขา Central Park14 พ.ค. 69 - 11:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,haendibaee,https://www.tiktok.com/@haendibaee,"79,000",,,TRUE,TRUE,TRUE,สาขา Central Pinklao14 พ.ค. 69 - 09:00,โปรดีมาก ! ZUS Coffee จัดโปรลดเหลือแก้วละ49.-/69.- พุ่งตัวด่วนน🥤💙  #ZUSCOFFEE #ZUSCOFFEETH #ดื่มซุสไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด,https://drive.google.com/drive/folders/155wiR7goIo5-LL2xWOGm5We9OeZvDITp,"- 0.13 รบกวนอ่าน + เขียน เมนูให้ถูกต้อง Butterbae
- อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)","- 0.13 รบกวนอ่าน + เขียน เมนูให้ถูกต้อง Butterbae
- อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)",https://drive.google.com/drive/folders/1TAF4qBW2__JZVimfVjgJLXg_1dl3AAhX,ผ่าน,ผ่าน  (ฝากแคปชั่น ZUS Coffee ยังร่วมนโยบายกับสธ. ปรับระดับความหวานใหม่ หวานน้อยลงเเต่อร่อยเท่าเดิม ปรับตามสไตล์อินฟลู),"Tiktok : https://vt.tiktok.com/ZSxSWDKwS/
IG Reels : https://www.instagram.com/reels/DYjQTO8h_S0/
IG Post : https://www.instagram.com/p/DYjQOBJmOQz/?igsh=Ync2NWR3NXV6NTNl",#lQDR1kxQWimLA23Qnx6ZuUCOu3ZOhmCcdbQRaW7j651oJY8BTMNa0ZU8TTycd0Q=,304,13,0,0,0,639,8,0,0,0,0,KOC,20/5/69
,,nornanreview,Https://www.tiktok.com/@nornanreview,66.3K,,,TRUE,,,สาขา Central Ladprao13 พ.ค. 69 - 09:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,mmelaniee29,https://www.tiktok.com/@mmelaniee29,"1,361",,,TRUE,,,สาขา Central Eastville13 พ.ค. 69 - 07:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,difla_darlene,https://www.tiktok.com/@difla_darlene,"2,712",,,TRUE,,,สาขา Central Ladprao14 พ.ค. 69 - 11:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,kaem.kon,https://www.tiktok.com/@kaem.kon,"5,140",,,TRUE,TRUE,TRUE,สาขาวานิช เพลส อารีย์13 พ.ค. 69 - 07:00,"ลอง Buttercreme ของ ZUS แล้วเข้าใจคำว่า “ละมุน” ☁️🥛
โปรเริ่ม 49.- เท่านั้น ห้ามพลาด #zuscoffee #zuscoffeeth #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/file/d/1InQeXK-KSvLMLiAXTTXYIuQo1O_I0vKT/view?usp=drivesdk,"- 0.03 ตัดเสียงพูด ""ทุกเมนู"" ออก
- 0.10 ตัดเรื่องโปรแถมมินิครัวซองต์ออก เพราะโปรจะหมดตอนที่ลงคลิปนี้แล้ว
- 0.14 ตัดคำว่า ฟรี! มินิครัวซองต์ออก
- รบกวนใส่เพลงคลอๆ แนวคาเฟ่ ตื่นเต้นกับโปรโมชั่น","- 0.03 ตัดเสียงพูด ""ทุกเมนู"" ออก
- 0.10 ตัดเรื่องโปรแถมมินิครัวซองต์ออก เพราะโปรจะหมดตอนที่ลงคลิปนี้แล้ว
- 0.14 ตัดคำว่า ฟรี! มินิครัวซองต์ออก
- รบกวนใส่เพลงคลอๆ แนวคาเฟ่ ตื่นเต้นกับโปรโมชั่น",https://drive.google.com/file/d/1vb_u16Y821Mm2lA74u_vR-aaB8gKajFd/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSxNmkdb2/
IG Reels : https://www.instagram.com/reel/DYZg30CyF9t/
IG Post : https://www.instagram.com/p/DYZhvM2Es2D/",#D5YD9XSp4ravqA3IEPuCI8pX7suvZ+MQaGTm1eV1qTXaOawZgb1/mhulU7Z2sck=,"1,771",63,3,0,1,862,8,0,0,0,0,KOC,17/5/69
,,best.lingnoii,https://www.tiktok.com/@best.lingnoii,"47,000",,,TRUE,,,สาขาวานิช เพลส อารีย์13 พ.ค. 69 - 03:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,oilchanaporn,https://www.tiktok.com/@oilchanaporn,"4,494",,,TRUE,TRUE,TRUE,สาขา Central Westgate14 พ.ค. 69 - 13:00,"เจอโปร ZUS Coffee แล้วอดบอกต่อไม่ไหว ☕️เมนูเย็น 49.- / เมนูเฟรปเป้ 69.- เฉพาะสั่งผ่าน ZUS App เท่านั้นน้า ทั้ง Pickup & Delivery ✨

📍โปรวันที่ 18-25 พ.ค. 69
📍ร่วมรายการทุกสาขา

#ZUSCoffee #ZUSCOFFEE",https://drive.google.com/file/d/11SZFvzBiJZTR-NhIKQt_xAS7XP4oS01Z/view?usp=drivesdk,,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZSx8yvTAN/
IG Reels : https://www.instagram.com/reel/DYXOVctp6xI/
IG Post : https://www.instagram.com/p/DYXQAVhiaVH/",#eFsl3Q1ItCueAHOOOZasFyryFvN65HopRNCir1OaXp/f90x55kGke5CoyrIzc6s=,"2,270",143,29,42,6,212,4,0,0,0,0,KOC,16/5/69
/,Done,wara.wsd,https://www.tiktok.com/@wara.wsd,"10,500",,,TRUE,TRUE,TRUE,สาขา Central Ladprao14 พ.ค. 69 - 05:00,กรี๊ด ZUS COFFEE มีโปรแล้ว‼️☕️ ถูกใจคนชอบกินกาแฟแบบเรา ทั้งแบบเย็นและปั่น บอกเลยเริ่ด แล้วเค้ามีทุกสาขาด้วยนะ รีบไปเร็วว #ZUSCOFFEE #ZUSSCOFFEETH #ดื่ม ZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด,https://drive.google.com/drive/folders/16bM6M6m2qo0cHHhjjS3jY2NX8ibkaybJ,,"- 0.31 เพิ่ม text วันที่ 18 -25 พ.ค.69
อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)",https://drive.google.com/drive/folders/16bM6M6m2qo0cHHhjjS3jY2NX8ibkaybJ,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSxYWwJpN/
IG Reels : https://www.instagram.com/reel/DYcUaiHTSeM/
IG Post : https://www.instagram.com/p/DYcUnobE7kp/",#WBnnBoLTLjCMJvmgVWr0ghnjc+OexgaxxQQ4LXCSHAqRU/X0WT4/MnZ3YbWVLCw=,347,12,5,3,3,451,11,1,3,0,0,KOC,17/5/69
,,robynbiifern,https://www.tiktok.com/@robynbiifern,"6,037",,,TRUE,,,สาขา Central พระราม 313 พ.ค. 69 - 07:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,porly2001,https://www.tiktok.com/@porly2001,41.8K,,,TRUE,,,สาขา Central Eastville13 พ.ค. 69 - 09:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,wachiraphorntawar,https://www.tiktok.com/@wachiraphorntawar,11.3K,,,TRUE,,,สาขา Central Pinklao13 พ.ค. 69 - 05:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,smxxe.98,https://www.tiktok.com/@smxxe.98,"22,100",,,TRUE,TRUE,TRUE,สาขา Thyme บางนา14 พ.ค. 69 - 09:00,"เจอโปรนี้แล้วไม่บอกต่อไม่ได้ 😭💚
ZUS COFFEE จัดหนัก เมนูเย็น 49.- และเฟรปเป้ 69.- ผ่าน ZUS App เท่านั้น!
เราลอง Matcha Latte กับ Chocolate Frappe คืออร่อยเกินราคาไปมากกก หวานน้อยลงแต่ยังถูกใจเหมือนเดิม ✨

โปรมีแค่ 18-25 พ.ค. 69 นี้ ทุกสาขาน้า รีบเลยยย

#ZUSCOFFEE #ZUSCoffee #CoffeeLover #MatchaLatte #ChocolateFrappe ",https://drive.google.com/drive/folders/1-vYdy3gorL8yYOxoc2zqy9Ld-B9LgTxZ,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZSx6FHG1R/
IG Reels : https://www.instagram.com/reel/DYeOcnKJyB9/
IG Post : https://www.instagram.com/p/DYe68JDiSP6/",#YaFsZlD1d/1cKJjMY7knb3K1DKfqkAhXqrLAjlTuwtYfXZMfvgylrBZwARHCMV4=,864,28,2,6,25,256,15,0,1,0,0,KOC,17/5/69
,,alicewonderland_d,https://www.tiktok.com/@alicewonderland_d,23.1K,,,TRUE,,FALSE,สาขา Central Eastville14 พ.ค. 69 - 07:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,.tititutu,https://www.tiktok.com/@.tititutu,"4,129",,,TRUE,TRUE,TRUE,สาขา Central Pinklao13 พ.ค. 69 - 05:00,"สายคุ้ม สายกาแฟมาทางนี้ เซฟคลิปนี้ด่วนๆ @zuscoffee ทุกเมนู 49.- กาแฟดี ราคาดี  
ตั้งแต่วันที่ 18-25 พ.ค 69 นี้เท่านั้น 

#zuscoffee #zuscoffeeth #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด ",https://drive.google.com/drive/folders/1UOPWx6B_5DzEmNaWkmXFMJ7Oq03u_ZUr,0.27 แก้ VO เเก้จาก 7 วันเป็น 8 วันเท่านั้น,"0.27 แก้ VO เเก้จาก 7 วันเป็น 8 วันเท่านั้น
อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)",https://drive.google.com/file/d/1zsYhzzo8BgUEXxiXW5ART-fLe5yYu02o/view?usp=drivesdk,ผ่าน,ผ่าน (ฝากแคปชั่น ZUS Coffee ยังร่วมนโยบายกับสธ. ปรับระดับความหวานใหม่ หวานน้อยลงเเต่อร่อยเท่าเดิม ปรับตามสไตล์อินฟลู),"Tiktok : https://vt.tiktok.com/ZSxA5jeWC/
IG Reels : https://www.instagram.com/reel/DYmILqzBRiN/
IG Post : https://www.instagram.com/p/DYmIHhaFOkX/",#GT0O28029uVygNEq+VkrXiizttfg5eUkRdIRgFjVtSQaN7pKwUuJYqI6VUbg6/Y=,172,14,2,4,2,932,23,2,3,0,0,KOC,21/5/69
