                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19
6,,benjamin.akt,"https://www.instagram.com/benjamin.akt
https://www.tiktok.com/@captain.akb","4,722
1,603",,,TRUE,TRUE,,"สาขา Central Ladprao
28 เม.ย. 69 - 14:00",,,,,,,,,,,,,,,,,,,,,-
7,Done,dedeehappy,"https://www.instagram.com/dedeehappy
https://www.tiktok.com/@dedeehappy","96300
73,600",,,TRUE,TRUE,TRUE,"สาขา Central พระราม 9
28 เม.ย. 69 - 14:00","ซุสเปิดตัวเมนูใหม่แล้วน่าทุกคน ฤดูร้อนแบบนี้หาอะไรเย็นๆดื่มดีกว่า
วันนี้มาลองดื่ม Buttercreme Latte , Buttercreme Matcha Latte และ Buttercreme Spanish Latte   ซีรี่ย์ Buttercreme มีจุดเด่น มี Layer คล้ายครีมซีสโปะอยู่บนตัวเครื่องดื่ม โดย Texture สัมผัสจะหอม นัวร์ ไม่หนืด มีรสชาติของกาแฟผสมด้วย ไปลองได้ที่ ZUS coffee ทุกสาขา ช่วงเวลา 1-31 พค 69 นี้ #zuscoffee #zuscoffeeth #Buttercreme @Zuscoffee.th ",https://drive.google.com/drive/folders/1Uxn87Vb1ytQRd14O5T4RinHvyufLkjAU,"1. คลิปสั้นเกินไป รบกวนขออธิบาย รายละเอียดของเครื่องดื่มแยกทีละตัว
2. ถ้าเริ่มต้นคลิปด้วย คลิปเครื่องดื่มที่น่าทานดีมั้ยนะค้า
3.  วินาทีที่ 0.14 และ 0.18 รบกวนแกคำพูดจาก บัตเตอร์เคม เป็น บัตเตอร์เคร็ม","1. คลิปสั้นเกินไป รบกวนขออธิบาย รายละเอียดของเครื่องดื่มแยกทีละตัว
2. ถ้าเริ่มต้นคลิปด้วย คลิปเครื่องดื่มที่น่าทานดีมั้ยนะค้า
3.  วินาทีที่ 0.14 และ 0.18 รบกวนแกคำพูดจาก บัตเตอร์เคม เป็น บัตเตอร์เคร็ม

ขอเพิ่มภาพ Poster ของแคมเปญนี้ไปในคลิปหน่อยครับ: https://drive.google.com/drive/folders/138MntzvS0EJ1zK84-eUo3W_w634Dyaqz",https://drive.google.com/drive/folders/1Uxn87Vb1ytQRd14O5T4RinHvyufLkjAU,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9uEG32G/
IG Reels : https://www.instagram.com/p/DX1wVI5CdY0/
IG Post : https://www.instagram.com/p/DX1wVI5CdY0/",#aTQT/y3rIRmRhafMYBmjDSPPuOtjafkFdWykwU9/ktkDnMC552kBJpWDfExE3Zg=,188,2,0,2,0,430,10,0,0,0,0,
8,,g4mme_,"https://www.instagram.com/g4mme_
https://www.tiktok.com/@kaem.kon","2415
7003",,,TRUE,TRUE,,"สาขาวานิช เพลส อารีย์
1 พ.ค. 69 - 12:00",,,,,,,,,,,,,,,,,,,,,
9,Done,mu.am____________________,"https://www.instagram.com/mu.am____________________
https://www.tiktok.com/@mu_am_","1,158
12,100",,,TRUE,TRUE,TRUE,"สาขา Central พระราม 9
30 เม.ย. 69 - 12:00",ZUS Coffee ออกเมนูใหม่ ซีรีย์ Buttercream ✨🧈 สายหวานห้ามพลาด นัวถูกต้องที่สุด ไปอีสตามได้ทุกสาขาเลยนะ 💗🎀✨ #zuscoffee #zuscoffeeth #buttercream #TikTokพากิน #เมนูใหม่ต้องลอง @zuscoffee.th,https://drive.google.com/file/d/1QQzIpOrLjHAkZBCn0ht7u9whKeowkZxT/view?usp=drivesdk,ผ่าน,0.08 0.15 : Buttercreme สะกดให้ถูกต้อง,https://drive.google.com/file/d/1pRUCg8ZqVmASFlEXpujnP-ypYneYEAKG/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS94bBYaA/
IG Reels : https://www.instagram.com/reel/DX9Fio2yrwj/
IG Post : https://www.instagram.com/p/DX9H3jHmG4X/",#wHvxH0uFtkWfvrWtZUpfKYg5pLuggQi0htFlUadjLAA+mWY7mMBule7e/HVeTNQ=,397,16,2,1,0,633,29,2,0,0,0,
10,Done,kimxxzq,"https://www.instagram.com/kimxxzq/
https://www.tiktok.com/@kimmyoiu","2,161
10,400",,,TRUE,TRUE,TRUE,"สาขา Central Park
1 พ.ค. 69 - 18:00","ยกระดับความนัวแบบตะโกน! ✨ กับ Buttercreme Series จาก ZUS Coffee เมนูที่เปลี่ยนการดื่มกาแฟแบบเดิมให้พรีเมียมขึ้น 🧈☕️  
ย้ำอีกที! เมนูนี้อ่านว่า “บัตเตอร์-เคร็ม” (krem) ความพิเศษคือชั้นครีมหอม มัน นัวร์ ที่โปะอยู่ด้านบน ให้สัมผัสแบบละมุน ไม่หนืดคอ 
 
รอบนี้จัดมาลอง 3 เมนูเน้นๆ 
☕️ Buttercreme Latte หอมฟีลคุกกี้เนยสด อ้อมกอดอุ่นๆ ในแก้ว
🍵 Buttercreme Matcha Latteมัทฉะหอมนัว นุ่มฟินแบบต้นตำรับ
🍫 Buttercreme Chocolate ช็อกโกแลตเข้มข้น บอดี้แน่น ดื่มเพลินช่วงบ่าย
  
📱 สะดวกสุดๆ แค่สั่งผ่าน ZUS App
📍 ไปลองกันได้ที่ ZUS Coffee ทุกสาขา
🗓️ 1 - 31 พ.ค. 2569 นี้เท่านั้น!
#zuscoffee #zuscoffeeth #buttercreme",https://drive.google.com/drive/folders/1P6KwXNe58Te34EcmUNQq1xOxMgJ4pKPL,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS94qdyP4/
IG Reels : https://www.instagram.com/reel/DX9GErIhEAP/
IG Post : https://www.instagram.com/p/DX9GemNgWVE/",#gmY8YkE6gs9GxDYfQDjEUwtiw5v1L9mFK1oSDtlGV3FDSzF8ik9WNRne39HurY0=,316,5,1,4,1,330,5,0,0,0,1,
11,Done,minixx_m,"https://www.instagram.com/minixx_m
https://www.tiktok.com/@minixx_t","815
13,500",,,TRUE,TRUE,TRUE,"สาขา Central พระราม 9
1 พ.ค. 69 - 14:00",BUTTERCRÈME SERIES นัวร์มาก ! #zuscoffee #zuscoffeeth #buttercreme,https://drive.google.com/drive/folders/1CJJVtWPByPoRyrlZVrDnU7oawFxNuPnm,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9tbeyNt/
IG Reels : https://www.instagram.com/reels/DYHvsYsy3T5/
IG Post : https://www.instagram.com/reels/DYHvsYsy3T5/",#BIKK54H6dYmlQ3rSexeeQ9DBUun222jEfFL0wx56daF+XKLX0CXhmY71xCn0ZxQ=,"2,709",60,27,82,16,738,115,0,11,0,0,
12,Done,babyjesse.ducky,"https://www.instagram.com/babyjesse.ducky
https://www.tiktok.com/@ducky.jesse","13,500
37,500",,,TRUE,TRUE,TRUE,"สาขา Central Pinklao
29 เม.ย. 69 - 14:00",มาลองเมนูใหม่ของ Zus Coffee ที่นัว นุ่ม  แบบที่ทุกคนต้องลองตั้งแต่วันที่ 1 - 31 พ.ค. 2569 #zuscoffee #zuscoffeeth #buttercreme,https://drive.google.com/drive/folders/1LiMsr55rWu4KyBbSV1WNczVYddyRQW3j,1. ตอนพูดถึงเครื่องดื่ม รบกวนใช้คลิปเครื่องดื่มที่เด่นๆ นอกเหนือจากตอนอินฟลูฯ ถือแก้วด้วยได้มั้ยนะค้า,"1. ตอนพูดถึงเครื่องดื่ม รบกวนใช้คลิปเครื่องดื่มที่เด่นๆ นอกเหนือจากตอนอินฟลูฯ ถือแก้วด้วยได้มั้ยนะค้า

ขอเพิ่มภาพ Poster ของแคมเปญนี้ไปในคลิปหน่อยครับ: https://drive.google.com/drive/folders/138MntzvS0EJ1zK84-eUo3W_w634Dyaqz",https://drive.google.com/file/d/1JJmjmn32OUnmd9-l_8Q1k95MK2DsGbrv/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9asfnEg
IG Reels : https://www.instagram.com/reel/DXzBdx7yNCt/
IG Post : https://www.instagram.com/p/DXzRmv4El3R/",#tIzM3XVEof9+/HwxibOedu2ndrRhOuOsLCyDrMsp6QtNpuT2EMtNyNXM4bGwv1Y=,"1,012",57,2,0,1,658,15,2,2,0,0,
13,Done,best.lingnoii,"https://www.instagram.com/best.lingnoii
https://www.tiktok.com/@best.lingnoii","11,700
47,000",,,TRUE,TRUE,TRUE,"สาขา Central Pinklao
28 เม.ย. 69 - 20:00","รีวิว Buttercrème Series ของ Zus cofee อร่อยมากกกก ใครชอบหวานติดใจแน่นอน ใครไม่ชอบหวานสั่ง 50% น้องมีความหอมๆแบบเนยมาก 
#zuscoffee #zuscoffeeth #buttercreme",https://drive.google.com/drive/folders/1c4BHLhEB9bp67k1LCw_7SD1EZkH9kaxu,"1. รบกวนพูดโปรโมชั่น และเพิ่ม Text : มีขายแค่วันที่ 1 พ.ค. - 31 พ.ค. 69 เท่านั้น
2. ขอเพิ่มภาพ Poster ของแคมเปญนี้ไปในคลิปหน่อยครับ: https://drive.google.com/drive/folders/138MntzvS0EJ1zK84-eUo3W_w634Dyaqz
3. วินาทีที่ 0.15 / 0.25 / 0.30 / แก้ไขจากการพูดว่า บัตเตอร์แครม เป็น บัตเตอร์เคร็ม (อ่านว่า Butter Krem)
4. 0.44 - 0.57 ใช้คลิปเดิมยาวเกินพอจะมี คลิปอื่นๆเพิ่มเติมมั้ยนะค้า",เเก้ไขตาม foxtells,https://drive.google.com/drive/folders/1c4BHLhEB9bp67k1LCw_7SD1EZkH9kaxu,ผ่าน,ผ่่าน,"Tiktok : https://vt.tiktok.com/ZS9WXL2f3/
IG Reels : https://www.instagram.com/reel/DYFCeyWzEyk/
IG Post : https://www.instagram.com/p/DYHYTIdkzqE/",#fElP5+nOzKKv/C2B3j0/fqZdh/gvkyzkst0wv5vMH9QDcQNHHxD/P8FwM3/8S0g=,"4,147",34,1,0,0,"3,545",69,1,3,1,1,
14,Done,papainhaii,"https://www.instagram.com/papainhaii
https://www.tiktok.com/@papainhaii","5,075
19,700",,,TRUE,TRUE,TRUE,"สาขาบ้านก้ามปู อโศก
28 เม.ย. 69 - 16:00","☕️ ZUS Coffee ออกเมนูใหม่!
อร่อย ละมุน ต้องลอง✨

🧈BUTTERCRÈME SERIES
ยกระดับการดื่ม เมนู Latte ให้เหนือชั้นกว่าเดิม
และได้ความรู้สึกหรู ละมุน น่าดื่มมากยิ่งขึ้น

ตามไปลองกันได้เลย 
📍ZUS Coffee ทุกสาขา
@zuscoffee.th

#zuscoffee #zuscoffeeth #buttercreme",https://drive.google.com/drive/folders/1Q1v77dvZYfqydwk9WP5gLB3Vzv0fJNS8,"1. รบกวนพูดโปรโมชั่น และเพิ่ม Text : มีขายแค่วันที่ 1 พ.ค. - 31 พ.ค. 69 เท่านั้น
2. ขอเพิ่มภาพ Poster ของแคมเปญนี้ไปในคลิปหน่อยครับ: https://drive.google.com/drive/folders/138MntzvS0EJ1zK84-eUo3W_w634Dyaqz",เเก้ไขตาม foxtells,https://drive.google.com/file/d/1LY5bsdj7QL9cf3gP9du5Ms3hr7Pc_QbV/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9VgR54Q/
IG Reels : https://www.instagram.com/reel/DX-UqJCzncz/
IG Post : https://www.instagram.com/stories/papainhaii/3890645117892237111",#uoN23AZO4lvTXyGD2ftVSsCoWYSdOuwM7plwSeDfwvDQkzI6pWboPGiyDz7aOmM=,487,39,7,3,1,"1,442",33,4,1,0,0,
15,Done,aummntww,https://www.tiktok.com/@aummntww,"35,700",,,TRUE,TRUE,TRUE,"สาขา Central Westville
1 พ.ค. 69 - 12:00",ZUS COFFEE ออกเมนูใหม่อีกแล้ว ใครชอบความหอม มัน นัวร์ไม่ควรพลาดเมนูจากซีรี่ย์นี้เลย✨💙 #zuscoffee #zuscoffeeth #buttercreme,https://drive.google.com/drive/folders/1xN9znLn3LZEPjVLpeTg0RRgGDE00v67l,ผ่าน (เพิ่มเพลงคลอๆสนุกๆตื่นเต้นกับเมนูใหม่),ผ่าน (เพิ่มเพลงคลอๆสนุกๆตื่นเต้นกับเมนูใหม่),,,,"Tiktok : https://vt.tiktok.com/ZS9QQnHJd/
IG Reels : https://www.instagram.com/reel/DX6A0yoJZ3u/
IG Post : https://www.instagram.com/p/DX5-As4CWwv/",#I0w0vmjyrVVp0v/RY4YBf7ulidRoK/U0tFGBlbNumHz2dNDYJzH4UFs5Nn5WuOc=,"14,500",404,1,5,5,208,6,0,0,0,0,
16,Done,goagain25,"https://www.tiktok.com/@goagain25
https://www.facebook.com/profile.php?id=100063236438729&mibextid=ZbWKwL","12,200
10,000",,,TRUE,TRUE,TRUE,"สาขาวานิช เพลส อารีย์
29 เม.ย. 69 - 18:00","Buttercrème Serie เมนูใหม่จาก ZUS COFFEE ที่ยกระดับเมนูให้มคลาสขึ้นพรีเมี่ยมขึ้น ทุกเมนูจะไม่ธรรมดาอีกต่อไป Buttercrème ทำให้หอมนัวและเข้มข้นขึ้นมาก ต้องมาลอง
#zuscoffee #zuscoffeeth #buttercreme ",https://drive.google.com/file/d/1M72HLuHAhcVpDDC8mlB8ZPByGF2yitat/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9aC3tXp/
IG Reels : https://www.facebook.com/share/r/18xNHwe6an/
IG Post : https://www.instagram.com/reel/DXy0E-NzR6q/",#zTE1wfWNW1BI6AP8Iw3xgPeU477E/LFNs6B0eZhtz3P+Kd7kG4mstHgTDIPM/PE=,293,19,5,1,2,"1,018",29,1,1,0,0,
17,Done,porlykm,"https://www.instagram.com/porlykm
https://www.tiktok.com/@porly2001","11,700
41,600",,,TRUE,TRUE,TRUE,"สาขา Central Pinklao
30 เม.ย. 69 - 18:00","เมนูใหม่! Buttercreme 📍ZUS Coffee ทุกสาขา 1-31 พฤษภาคม 2569 

#zusthailand #zuscoffee #buttercremeseries #เปิดตัวเมนูใหม่ #ZUSTH",https://drive.google.com/file/d/1VAHyhAbCZtu1pONQ3ZI8_BGHwY6yeuOD/view?usp=drivesdk,1. 0.53 รบกวนแก้ เปลี่ยน ZUS app ให้ ZUS เป็นตัวพิมพ์ใหญ่ทั้งหมด,1. 0.53 รบกวนแก้ เปลี่ยน ZUS app ให้ ZUS เป็นตัวพิมพ์ใหญ่ทั้งหมด + ใน Caption เช่นกัน,https://drive.google.com/file/d/1DZi3uqg0gTw8ilKvN0m27IJ8hPCn1Vm0/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9qah1JQ/
IG Reels : https://www.instagram.com/reel/DX_FE4QTNKH/",#1f/mXaBfWEBwFW+J0FoeJsaaJe0hW3AoXufFa3+nfF/aALXpNef/ZBR4ep1hZ3s=,236,11,0,1,1,126,4,0,0,0,0,
18,,mamameanreview,"https://www.instagram.com/mamameanreview
https://www.tiktok.com/@mean.tita","6,686
11,300",,,TRUE,TRUE,,"สาขา Central พระราม 9
28 เม.ย. 69 - 14:00",,,,,,,,,,,,,,,,,,,,,-
19,Done,aa_pornthip,"https://www.instagram.com/aa_pornthip
https://www.tiktok.com/@pornthip.paitoon","6,541
1,414",,,TRUE,TRUE,TRUE,"สาขา Central Pinklao
30 เม.ย. 69 - 14:00","เมนูใหม่ ZUS COFFEE 
@zuscoffee.th
Buttercreme Series
หอมเนย นุ่ม นัว ละมุนสุดๆ
มีตั้งแต่ 1-31 พฤษภาคม นี้เท่านั้น
ไปหาลองกันได้แล้ววันนี้
ที่ ZUS COFFEE ทุกสาขา
#ZUSCOFFEE #ZUSCOFFEETH #buttercreme #ดื่มZUSไม่มีทรุด",https://drive.google.com/drive/folders/11NamULuTCiPLWGDiXhUNzA94t7htOTu6,ผ่าน,0.57 Buttercreme ขอติดกัน,https://drive.google.com/drive/folders/11NamULuTCiPLWGDiXhUNzA94t7htOTu6,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9QcFbcF/
IG Reels : https://www.instagram.com/reel/DX6EJlxyW2r/
IG Post : https://www.instagram.com/p/DX6RFI1knoi/",#XR3lf4oQtWOcjiD9AbXNqAW8CrD9rOf7ofjW9fK5qFpGuxfQkw7cB64bvME99cM=,612,13,0,1,0,"1,247",19,0,0,0,0,
20,Done,wilaibhorn_kh,"https://www.instagram.com/wilaibhorn_kh
https://www.tiktok.com/@wilaipaireview","4,248
12,000",,,TRUE,TRUE,TRUE,"สาขา Central Ladprao
1 พ.ค. 69 - 14.00","เมนูใหม่สุดอร่อยจาก ZUS Coffee ที่ต้องลอง!
พบกับ เมนู Buttercrème Series เลเยอร์เนื้อครีมด้านบนที่เป็นเอกลักษณ์
นุ่มเบา หอมมันละมุน ผสานกับกาแฟอย่างลงตัว ลองแล้วจะรู้เลยว่า…ความละมุนที่ “ยกระดับขึ้น” เป็นยังไง 👀✨

✨ : ตั้งแต่ 1-31 พ.ค. 69
📍 : ZUS Coffee ทุกสาขา

#zuscoffee #zuscoffeeth #buttercreme #Buttercremelatte #เมนูใหม่ซุสคอฟฟี่",https://drive.google.com/drive/folders/12yvNBA3T7s9G926UmL8y8wzZ4bmNFjN_,ผ่าน,0.31 Latte พิมพ์ใหญ่ตรงตัว L,https://drive.google.com/drive/folders/12yvNBA3T7s9G926UmL8y8wzZ4bmNFjN_,ผ่าน,ผ่่าน,"Tiktok : https://vt.tiktok.com/ZS9qrNnQD/
IG Reels : https://www.instagram.com/reel/DX-gIvVywkP/",#dG1AbcrJa/9a7XF6XOSgb+ZoTwoPdK/yFxvZgtK8+q1HsThvYPGLY87N1i+d0L4=,916,34,23,7,11,422,6,0,1,0,0,
21,Done,babykwonmabells,"https://www.instagram.com/babykwonmabells
https://www.tiktok.com/@kwonmabells","122
14,000",,,TRUE,TRUE,TRUE,"สาขา Central Ladprao
28 เม.ย. 69 - 16:00","🧈🍪🥛 ZUS Coffee เขาออกเมนูใหม่มาแล้วว !! กับ “ Buttercrème Series “ ที่จะมายกระดับประสบการณ์การดื่มกาแฟให้พรีเมี่ยมยิ่งขึ้น ✨

เขาไม่ได้มีแค่เมนูกาแฟอย่างเดียวนะ ช็อกโกแลตหรือมัทฉะก็มี ความนัว ความนุ่ม ยกให้เมนูนี้เลยจริงๆ ใครยังไม่ลองต้องมาด่วนๆ 💘

📍ZUS Coffee ทุกสาขา
⏰ ตั้งแต่วันที่ 1-31 พ.ค. นี้

#zuscoffee #zuscoffeeth #buttercreme ",https://drive.google.com/file/d/1FYB8k2AQKEZpxhxXYQFGORhUTS0Pog3j/view?usp=drivesdk,1. รบกวนขอเอาคลิปช่วง 0.06 มาเริ่มต้นคลิปแทน เนื่องจากมีตัวอักษรแล้วทำให้คลิปดูหน้าสนใจมากกว่า,เเก้ไขตาม foxtells,https://drive.google.com/file/d/1ZaxP6bjskzbeNrJv5UeIMU9eMy8ErNco/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://www.tiktok.com/@kwonmabells/video/7636499449304337684?_r=1&_t=8rv73ADfiOA
IG Reels : https://www.instagram.com/p/DX-4nHwRa9g/
IG Post : https://www.instagram.com/p/DYAs8UXk5AE/?img_index=1",#uAnqouwrLDQnJd/rHaZpYsIvFok6GH70/43XPII7VN097pTuN9zO/c1z4g/nMhs=,272,18,6,1,0,574,18,1,2,0,0,
22,,mieispalmmie,"https://www.instagram.com/mieispalmmie
https://www.tiktok.com/@mieispalmmie","15,000
521",,,TRUE,TRUE,FALSE,"	สาขา Thyme บางนา
28 เม.ย. 69 - 14:00",,,,,,,,,,,,,,,,,,,,,
