                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
4,Done,goeatgoout,https://www.tiktok.com/@goeatgoout,"2,082",,,,,,TRUE,,TRUE,2,"SCB Park Plaza
2 ก.ค. 69 - 16.00","ZUS คอแลปกับยาดม นี่มันอะไรกัน?!!
.
เป็นไปได้‼️ “Soothe Up The Day” ที่พร้อมส่งต่อความสดชื่นของ Coconut Series ของ ZUS Coffee กับอ้วยอันโอสถ เรียกว่า สดชื่นสูตรไหน ก็ไม่เท่า “สูตรกาแฟซุส” และ “สูดยาดมมังกรทอง”
.
ง่ายๆ แค่ซื้อเครื่องดื่มครบ 150 บาทต่อบิล (ได้ทุกเมนู) รับฟรี❗️ เคสน่ารักๆ ZUS พร้อมยาดมมังกรทอง บอกเลยว่าคุ้ม ยิ่งใครเป็นสายยาดมอยู่แล้ว ต้องถูกใจสิ่งนี้ แนะนำให้สั่งผ่าน ZUS App (ได้ทั้ง pick up และ delivery) สั่งได้ทุกสาขาเลย ตั้งแต่ 1-31 กรกฎาคม 2569 นี้เท่านั้น
.
#zuscoffee #zuscoffeeth #GoEatGoOut",https://drive.google.com/drive/folders/1ANte_gmdHY2W439HLZTbS2qDt18O8w1v,"- 0.05 เขียน Text ด้วย Font ไม่มีหัวว่า ""150 บาท ต่อบิล ได้ยาดม 1 อัน
- 0.44/0.46 เพิ่ม Text ชื่อเมนู
- เติมเพลงคลอๆสไตล์คาเฟ่
- 0.59  เพิ่ม Text  ""1-31 ก.ค. 2569""","- 0.05 เขียน Text ด้วย Font ไม่มีหัวว่า ""150 บาท ต่อบิล ได้ยาดม 1 อัน
- 0.44/0.46 เพิ่ม Text ชื่อเมนู
- เติมเพลงคลอๆสไตล์คาเฟ่
- 0.59  เพิ่ม Text  ""1-31 ก.ค. 2569""",https://drive.google.com/file/d/1xxSIjKd4RtFJYrOTqP1uvn7nbXrPY7b1/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCc5adHf/
IG Reels: https://www.instagram.com/reel/Daf9_-JJaDC/
IG Post: https://www.instagram.com/p/DagExsmiVkA/
IG Story: https://www.instagram.com/stories/goeatgoout/3936140515116448461 และ https://www.instagram.com/stories/goeatgoout/3936181624119473355",Gen Code (TikTok): #ULInGqlk8bmbdO4LkJd8ViW5wgOZoK6NBbJQacnbhRH3B8vL3V/DP9D5smm2Lak=,163,7,2,0,0,165,3,0,1,0,0,
5,Done,gimjipingping,https://www.tiktok.com/@gimjipingping,"185,200",,,,,,TRUE,,TRUE,2,"Vanit Place อารีย์
1 ก.ค. 69 - 14.00",Soothe up the day ไปกับ ZUS ที่มาพร้อมกับยาดมคู่ใจ 💙 ใครอยากได้ไอเทมน่ารัก ๆ กับเครื่องดื่มอร่อย ๆ ไปตามกันได้ที่ ZUS Coffee ทุกสาขาเลย✨  #zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ,https://drive.google.com/file/d/12gjt6h4BCNjyrrG9S30KQIzWo-DFUGgg/view?usp=drivesdk,"0.22 - ออกเสียง บัตเตอร์-เคร็ม ค่า
0.24 - ออกเสียง บัตเตอร์-เคร็ม ค่า
0.43 - 1-31 July 2026 ค่า","0.22 - ออกเสียง บัตเตอร์-เคร็ม ค่า
0.24 - ออกเสียง บัตเตอร์-เคร็ม ค่า
0.43 - 1-31 July 2026 ค่า",https://drive.google.com/file/d/1LXAr1xe8rGOuNUUe6FEA1Dz14C6xIFO6/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCTC6akr/
IG Reels: https://www.instagram.com/reel/DafVpN-P_e9/
IG Post: https://www.instagram.com/reel/DafVpN-P_e9/
IG Story: https://www.instagram.com/s/aGlnaGxpZ2h0OjE4NDQ3MDA2ODQ0MTM5Mjc2",Gen Code (TikTok): #jzyDG5eptdyEqt9IZE+70R9kIEY2k05CZiPm966O2sIHe7vby5QcnC9gPVwTkT4=,880,186,1,2,2,"1,026",3,2,0,0,0,
6,Done,mayyyuan,https://www.tiktok.com/@mayyyuan,"9,651",,,,,,TRUE,,TRUE,2,"SCB Park Plaza
2 ก.ค. 69 - 13.00","สูดมัทฉะ ดื่มยาดม เอ้ยย🤣 ถูกใจคนอ่อมงานนะ แต่2แบรนด์นี้เข้ากันได้ไงก๊อนน!?

#zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ",https://drive.google.com/drive/folders/1kMDD4mnNLWJcudrx-Tb_6bq_lsqIYlEJ,ผ่าน (เติมเพลงคลอๆตอนลงคลิป),ผ่าน (เติมเพลงคลอๆตอนลงคลิป),,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCg4t6xq/
IG Reels: https://www.instagram.com/reel/DaZVshJzi_x/
IG Post: https://www.instagram.com/p/DaZWCRGk4gm/
IG Story: https://www.instagram.com/stories/munmuangmay/3934274737371330082",Gen Code (TikTok): #2RyUJ4KsnGqMO3PXYY8igZzRNptV8gZh171wrU20AKbkZ0yRNOww7CLaqE7L2xI=,"6,043",27,5,4,6,"1,612",71,3,3,0,0,
7,,smxxe.98,https://www.tiktok.com/@smxxe.98,"22,100",,,,,,TRUE,,,2,"Vanit Place อารีย์
1 ก.ค. 69 - 14.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
8,Done,tiewpaisuaypaii.sine,https://www.tiktok.com/@tiewpaisuaypaii.sine,"112,500",,,,,,TRUE,,TRUE,2,"Central พระราม 9
2 ก.ค. 69 - 15.00",ซื้อ ZUS Coffee ครบ 150.- แลกฟรี! เคสพร้อมยาดมมังกรทองสุดคิวท์ 😱 ดีไซน์เก๋ห้อยคอได้ สายพกยาดมคือห้ามพลาด ช้าหมดอดน้า! 🥥 ลอง Coconut Series นัวสดชื่นมาก กดสั่งผ่าน ZUS App เลย! 📍 ทุกสาขา,https://drive.google.com/file/d/1sLRYqyVPhzYNLNwR9jwHHhGFoLUV4dRu/view?usp=drivesdk,"- 0.00 แก้คำผิดจากคำว่า Rame9 เป็น Rama9
- 0.34 เพิ่มปี เป็น 1-31 ก.ค. 69
- 0.39 แก้คำผิดจาก Derivery เป็น Delivery
","- 0.00 แก้คำผิดจากคำว่า Rame9 เป็น Rama9
- 0.34 เพิ่มปี เป็น 1-31 ก.ค. 69
- 0.39 แก้คำผิดจาก Derivery เป็น Delivery",https://drive.google.com/file/d/1qgVzT69hMDtVjnPIvcuPeX9hGGfYIZBn/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCEXDgBN/
IG Reels: https://www.instagram.com/reel/DakG6wCBH_q/
IG Post: https://www.instagram.com/reel/DakG6wCBH_q/
IG Story: https://www.instagram.com/stories/sandy_sine13/3937305703101884280",Gen Code (TikTok): #sEikjbrM/geEMA62wz75jntzJtfNQcP+ooATfdmGyzxLGqpnPgpVh2VaNxwKHqc=,"2,284",7,1,0,1,"7,201",347,6,2,0,0,
9,Done,cescsyfahbregas368,https://www.tiktok.com/@cescsyfahbregas368,"3,481",,,,,,TRUE,,TRUE,2,"Vanit Place อารีย์
2 ก.ค. 69 - 16.00","​ใครเป็นสายพกยาดมอยู่แล้วต้องถูกใจสิ่งนี้! 🥰 เมื่อ ZUS Coffee x อ้วยอันโอสถ คอลแลปส์กันในแคมเปญ Soothe Up The Day แจกไอเทมลิมิเต็ดที่ต้องมีติดกระเป๋า!
​แค่สั่งเครื่องดื่มอะไรก็ได้ในร้านครบ 150 บาท ต่อบิล ก็รับฟรี! เคสพร้อมยาดมมังกรทอง ดีไซน์สุดคิ้วท์ พกพาง่าย ใช้ได้จริงทุกวัน 🛒
​แถมรอบนี้เค้าชวนมาฟินกับ Coconut Series ชูรสชาติความนัว ความหอมมะพร้าวแบบเต็มสิบไม่หัก ดื่มแล้วเฟรชทันที!
​📱 สั่งง่าย ๆ ผ่าน ZUS App (ได้ทั้งแบบ pick up และ delivery)
📍 พิกัด: ZUS Coffee ทุกสาขา
🗓 ระยะเวลา: 1 - 31 กรกฎาคม 2569 (รีบหน่อยน้า ของมีจำนวนจำกัด!)
​#zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ  @zuscoffee.th",https://drive.google.com/file/d/18CV3mfIzN9RCe-DEYs9pcnG1rAo2PZL_/view?usp=drivesdk,"0.24, 0.26 - ออกเสียง บัตเตอร์-เคร็ม ค่า
0.54 - Pick up ขอตัวพิมพ์ใหญ่แบบนี้ค่า","0.24, 0.26 - ออกเสียง บัตเตอร์-เคร็ม ค่า
0.54 - Pick up ขอตัวพิมพ์ใหญ่แบบนี้ค่า",https://drive.google.com/file/d/1H3KFI_apQCnwJ63up6VTgXMUWgIutxEf/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCsQjhJp/
IG Reels: https://www.instagram.com/reel/Daa3wNkyA2y/
IG Post: https://www.instagram.com/reel/Daa3wNkyA2y/
IG Story: https://www.instagram.com/stories/fahbregas/3934709127180361590",Gen Code (TikTok): #wEid53s/eGHrYic38kZWgspp1tbZgNG2Tfd7T6KvBK4w5/ZlsILJW4kiJ4/XpN4=,"2,472",49,1,2,3,145,2,0,0,0,0,
10,,wilaipaireview,https://www.tiktok.com/@wilaipaireview,"12,700",,,,,,TRUE,,,2,"Vanit Place อารีย์
1 ก.ค. 69 - 13.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
11,Done,pangfoonberryps,https://www.tiktok.com/@pangfoonberryps,"17,200",,,,,,TRUE,,TRUE,2,"Vanit Place อารีย์
2 ก.ค. 69 - 17.00","เติมความสดชื่นให้ทั้งวันกับ ZUS x อ้วยอัน 💙🥥
วันนี้ลอง Coconut Series แล้วถูกใจมาก หอมมะพร้าว ดื่มง่าย แถมยังมีโปรซื้อเครื่องดื่มครบ 150 บาท/บิล รับฟรี! เคสมังกรทองอ้วยอัน (จำนวนจำกัด) ใครเป็นสายกาแฟและสายสะสม ห้ามพลาดเลยค่ะ ✨
#ZUSCoffee #ZUSCoffeeTH #SootheUpTheDay #CoconutSeries #อ้วยอัน",https://drive.google.com/drive/folders/1u94yhdn7-JbYfUZozsLVg6sKOGIqWMrU,"- 0.09, 0.18, 0.19 ออกเสียงว่า บัตเตอร์-เคร็ม
- 0.12 หอมมัจฉะ
- 0.31 แก้ voice + text เป็น เคสพร้อมยาดมมังกรทอง","ผ่าน
อันนี้ koc แก้แล้วมั้ยนะคะ",,,,,,,"TikTok Video: https://vt.tiktok.com/ZSX6YWDSp/
IG Reels: https://www.instagram.com/reel/DavSBHnSMYq/
IG Post: https://www.instagram.com/reel/DavSBHnSMYq/
IG Story: https://www.instagram.com/stories/pangfoonberry/3940448837924186349",Gen Code (TikTok): #eSWCMk1UUAw4GW8VyhPo7T7pttVX7D0fjUtVbZxiCHWAVm/A3oM8LsuLHRaIMt4=,"4,338",12,0,15,2,187,2,0,0,0,0,
12,,parichat.mukk,https://www.tiktok.com/@parichat.mukk,"20,500",,,,,,TRUE,,,2,"Central พระราม 9
1 ก.ค. 69 - 14.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
13,,gowithlove0,https://www.tiktok.com/@gowithlove0,"6,935",,,,,,TRUE,,,2,"Vanit Place อารีย์
1 ก.ค. 69 - 14.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
14,Done,pupa__pp,https://www.tiktok.com/@pupa__pp,"28,800",,,,,,TRUE,,TRUE,2,"SCB Park Plaza
2 ก.ค. 69 - 14.00",☕️ซื้อกาเเฟ เเถมยาดม ห้ามพลาดที่ 📍Zus coffee ทุกสาขา‼️ ของมันต้องมี ​#zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ,https://drive.google.com/drive/folders/1TpET8n7DxctWuvtkB2uEvI-HWvYd5-ux,"1. 0.00 ถ้ารบกวนเปลี่ยนกรอบสีแดง เป็นสีน้ำเงินของแบรนด์ได้มั้ย
2. 0.00 แก้คำผิดจาก ฮ้วยอัน เป็น อ้วยอัน
3. 0.32 แก้ไขคำพูดจาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
4. ขาดการพูดถึง Key Massage  ดังนี้
- sooth up the day สูด - ซูสสส์ - สูตร - สดชื่น ไปกับ coconut series
-  แนะนำให้สั่งผ่าน ZUS App (ได้ทั้งแบบ pick up และ delivery)
- สาขาที่ร่วมโปร: ZUS Coffee ทุกสาขา
- ช่วงเวลา: 1 - 31 July 2026","1. 0.00 ถ้ารบกวนเปลี่ยนกรอบสีแดง เป็นสีน้ำเงินของแบรนด์ได้มั้ย
2. 0.00 แก้คำผิดจาก ฮ้วยอัน เป็น อ้วยอัน / 0.19 แก้ว้อยซ์จากฮ้วยอัน เป็นอ้วยอันค่ะ
3. 0.32 แก้ไขคำพูดจาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
4. ขาดการพูดถึง Key Massage  ดังนี้
- sooth up the day สูด - ซูสสส์ - สูตร - สดชื่น ไปกับ coconut series
-  แนะนำให้สั่งผ่าน ZUS App (ได้ทั้งแบบ pick up และ delivery)
- สาขาที่ร่วมโปร: ZUS Coffee ทุกสาขา
- ช่วงเวลา: 1 - 31 July 2026",https://drive.google.com/file/d/1w_QgU8mgJBIoxTzve0VNVYYhOeF7gQnQ/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXJkS5ge/
IG Reels: https://www.instagram.com/reel/DakfslshjtB/
IG Post: https://www.instagram.com/p/Dakh4SjAY2p/
IG Story: https://www.instagram.com/stories/pupa__pp/3937417190663374958",Gen Code (TikTok): #SuFGP4slj2yGcKa8dtROFWZ9lF3xawqmNHr1N6F12SGFZBBCRIM/Cm3wBdbPz9s=,287,16,4,2,5,"1,008",28,0,0,0,0,
15,Done,nornanreview,https://www.tiktok.com/@nornanreview,"70,200",,,,,,TRUE,,TRUE,2,"SCB Park Plaza
1 ก.ค. 69 - 11.00","✨ ZUS Coffee x อ้วยอัน ปล่อยแคมเปญ Soothe Up The Day สั่ง Coconut Series รสชาติหอมนัวละมุน ยอดครบ 150 บาท/บิล รับยาดมมังกรทองฟรี! สูดปุ๊บสดชื่นปั๊บ หายเหนื่อย สั่งใน ZUS App สะดวกมาก จะ Pick up หรือเดลิเวอรีก็ฟินได้ทุกสาขาเลย!
Tag: @zuscoffee.th
#zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ",https://drive.google.com/drive/folders/17Wn-ykaBm205br3njK21XspscYojNq_u,"0.17 - ให้บอกว่าเมนูใหม่ Coconut Series แทนค่าา

ยาดมไม่จำเป็นต้องสั่ง Coconut Series สั่งเมนูไหนก็ได้ครบ 150.-","0.17 - ให้บอกว่าเมนูใหม่ Coconut Series แทนค่าา

ยาดมไม่จำเป็นต้องสั่ง Coconut Series สั่งเมนูไหนก็ได้ครบ 150.-",https://drive.google.com/drive/folders/17Wn-ykaBm205br3njK21XspscYojNq_u,ผ่าน (ลงเพลงสไตล์คาเฟ่คลอๆตอนลง),ผ่าน (ลงเพลงสไตล์คาเฟ่คลอๆตอนลง),,,,"TikTok Video: https://vt.tiktok.com/ZSCWgkkXv/
IG Reels: https://www.instagram.com/reel/DaePxL4TLIR/
IG Post: https://www.instagram.com/p/DaeQyARE1A-/
IG Story: https://www.instagram.com/stories/nornanstory/3935659312626741973",Gen Code (TikTok): #KBlQK6jqFFpAsiV5KgI9hz+9knq7dgPU1tnnUES0iFaksG0CrhNe1kBoPxWkbqI=,855,6,0,0,3,645,3,0,0,0,0,
16,Done,alicewonderland_d,https://www.tiktok.com/@alicewonderland_d,"23,100",,,,,,TRUE,,TRUE,2,"Central พระราม 9
1 ก.ค. 69 - 13.00","เมื่อสองตัวแม่แห่งความสดชื่น ZUS Coffee x
อ้วยอันโอสถ มาคอลแลปกัน บอกเลยว่างานนี้
ตื่นเต็มตา!! แล้วยังได้ Soothe Up The Day1
สูด - ชู้สสส์ - สุด - สดชื่น ไปกับเมนู Coconut
Series 🥥✨

📍พิกัด ZUS Coffee ทุกสาขา
(1- 31 July 2026 นี้เท่านั้น )

#zuscoffee #zuscoffeeth #อ้วยอันโอสถ
#อร่อยบอกต่อ #tiktokพากิน",https://drive.google.com/drive/folders/1cKiFhJn-286fohhUMo8nuIHXbgXzO15s,- 0.24/0.25  เพิ่ม Text ชื่อเมนู,- 0.24/0.25  เพิ่ม Text ชื่อเมนู,https://drive.google.com/drive/folders/1cKiFhJn-286fohhUMo8nuIHXbgXzO15s,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCE67CoT/
IG Reels: https://www.instagram.com/reel/Daj2r66TEs_/
IG Post: https://www.instagram.com/p/Daj3KFOE4YI/
IG Story: https://www.instagram.com/stories/alice_theranan/3937233265832613007",Gen Code (TikTok): #W5AhjopdHmNlr050e/PG0G9WFKgTZ+mUsbrmsm0li1xl+KQe5pdpZFFfBq6LArY=,"2,399",15,1,0,2,395,3,0,0,0,0,
17,,papainhaii,https://www.tiktok.com/@papainhaii,"20,300",,,,,,TRUE,,,2,"บ้านก้ามปู (อโศก)
2 ก.ค. 69 - 13.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
18,Done,triplemplusshop,https://www.tiktok.com/@triplemplusshop,"18,000",,,,,,TRUE,,TRUE,2,"SCB Park Plaza
1 ก.ค. 69 - 11.00","แคปชั่น ZUS + ยาดมมังกรทอง VDO
ZUS COFFEE ร่วมกับอ้วยอันโอสถ จัดแคมเปญ Soothe Up The Day มอบช่วงเวลาของความสดชื่นและผ่อนคลาย ผ่าน Coconut Series และยาดมมังกรทอง ให้สดชื่น แบบ X2 ให้คุณได้  sooth up the day สูด ซูสสส์ สูตร สดชื่น ไปกับ Coconut Seriesและยาดมมังกรทอง ที่ ZUS COFFEE ทุกสาขา ตั้งแต่วันที่ 1-31 กรกฎาคม 2569

#zuscoffee #zuscoffeeth #อ้วยอันโอสถ # ยาดมมังกรทอง #coconutseries


แคปชั่น ZUS + ยาดมมังกรทอง รูปภาพ
ZUS COFFEE ร่วมกับอ้วยอันโอสถ จัดแคมเปญ Soothe Up The Day มอบช่วงเวลาของความสดชื่นและผ่อนคลาย ผ่าน Coconut Series และยาดมมังกรทอง ให้สดชื่น แบบ X2 ให้คุณได้  sooth up the day สูด ซูสสส์ สูตร สดชื่น ไปกับ Coconut Seriesและยาดมมังกรทอง เพียงซื้อเครื่องดื่มทุกชนิด ครบ 150 บาท/บิล รับฟรี เคสพร้อมยาดมมังกรทอง ถ้าไม่อยาก FOMO ต้องรีบไปที่ ZUS COFFEE ทุกสาขา ตั้งแต่วันที่ 1-31 กรกฎาคม 2569

#zuscoffee #zuscoffeeth #อ้วยอันโอสถ # ยาดมมังกรทอง #coconutseries",https://drive.google.com/drive/folders/10pjro-eYwYpR7hg8nB4ZX6XkcnweF_IO,"0.21 - เรียงชื่อเมนูเป็นบรรทัดละหนึ่งเมนู หรือ ขึ้นมาทีละอันตามคำพูดแทนได้ไหมค้า
",0.21 - เรียงชื่อเมนูเป็นบรรทัดละหนึ่งเมนู หรือ ขึ้นมาทีละอันตามคำพูดแทนได้ไหมค้า,https://drive.google.com/drive/folders/10pjro-eYwYpR7hg8nB4ZX6XkcnweF_IO,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCGy3Cs2/
IG Reels: https://www.instagram.com/reel/Dab53Hvz-go/
IG Post: https://www.instagram.com/p/Dab5JaWH94B/
IG Story: https://www.instagram.com/stories/katoon_8978/3934997140741548243",Gen Code (TikTok): #DZmxKmWF7hT4PsQPQQfELk4A5j1c5Zbg8KvE19WyoNXU0c0GD1f6BgBxjSAURHE=,"3,733",80,12,38,9,215,8,0,0,0,0,
