                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19
6,Done,boattnp_,https://www.tiktok.com/@boattnp_,"11,600","1,595",126,121,2,3,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 14:00","ที่ ZUS Coffee ซื้อเครื่องดื่มใดก็ได้ 80บาท ต่อบิลได้ไปเลย 1 จุ่ม Hippers Collection คาแรคเตอร์สุดน่ารักของ ZUS Buddy สามารถตามเก็บได้แล้วตั้งแต่วันที่ 3-12 มิถุนายน 2569
ที่ ZUS Coffee ทุกสาขา 
#zuscoffee #zuscoffeeth ",https://drive.google.com/drive/folders/1VDLS4jQAD90Z50S97Cc-w22KaeqjkIRk,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQRsJGNQ/
IG Reels: https://www.instagram.com/reel/DZM35B9ADLZ/
IG Post: https://www.instagram.com/p/DZM4YYEFMBW/
IG Story: https://www.instagram.com/stories/boattnp._/3912738730426800953",TikTok Video: #Y1e1ULyEoGDc8SQq+736NeHxMh2Ea8t6iiKrGU1uWqA9suqWAceIjCU55DP0yqc=,"1,450",54,3,3,4,134,2,0,0,0,0,
7,,superlinllyn,https://www.tiktok.com/@superlinllyn,"8,469",886,23,20,1,2,TRUE,FALSE,,"สาขา Thyme บางนา 
28 พ.ค. 69 - 16:00",,,,,,,,,,,,,,,,,,,,,
8,,best.lingnoii,https://www.tiktok.com/@best.lingnoii,"47,100",405,28,26,1,1,TRUE,FALSE,,"สาขาวานิช เพลส อารีย์ 
3 มิ.ย. 69 - 10:00",,,,,,,,,,,,,,,,,,,,,
9,Done,dish.is.dietfood,https://www.tiktok.com/@dish.is.dietfood,"38,000","1,300",25,21,3,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
4 มิ.ย. 69 - 12:00",สายจุ่มต้องห้ามพลาด! ตอนนี้ ZUS Coffee ซื้อเครื่องดื่มครบ 80 บาทต่อบิล รับฟรี Hippers Collection 1 ซองเลยนะ น่ารักมากก รีบมากจุ่มกันนน ตามไปลองกันได้ที่ ZUS Coffee ทุกสาขาเลย #zuscoffee #zuscoffeeth ,https://drive.google.com/drive/folders/1TLCyRYZWupRRkdOnnByRZW6Xj4KoqWsl,"0.04 - ออกเสียงผิด ต้องเป็น ฮิปเปอร์

(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","0.04 - ออกเสียงผิด ต้องเป็น ฮิปเปอร์

(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/file/d/15bxG2xMwSQYK7fHih8m8lXnb_cmr_xhq/view?usp=drivesdk,ผ่าน,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQMbQfHR/
IG Reels: https://www.instagram.com/reel/DZUabn8BBfw/
IG Post: https://www.instagram.com/p/DZUUOTuEUOk/
IG Story: https://www.instagram.com/stories/dish.is.dietfood/3914929362280982357",TikTok Video: #hKHzHsv/K6mZErbOrCnQlvSlY5qA4weOBgD4EgRweu5DDt8lDnBhLqAg6FEFPz8=,881,30,3,0,2,495,12,4,0,0,0,
10,Done,095bank,https://www.tiktok.com/@095bank,"12,300","1,800",150,145,3,2,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
3 มิ.ย. 69 - 14:00","Hippers น่ารักๆ รอให้ไปซุ่มอยู่นะ กิจกรรมน่าสนใจสุดเลยแหละ เริ่ดๆๆ @zuscoffee.th
#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1wDT94dzb_wVYH-oRJwPLXXbn4hMhHOO8,-,1. 0.16 แก้ไขว้อยซ์ จาก คอนเนคชั่น เป็น คอลเล็กชั่น,https://drive.google.com/drive/folders/1wDT94dzb_wVYH-oRJwPLXXbn4hMhHOO8,ผ่าน,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQMPxQKG/
IG Reels: https://www.instagram.com/reel/DZUXSNNJBzG/
IG Post: https://www.instagram.com/p/DZUbCbriefY/
IG Story: https://www.instagram.com/stories/bank_apirak_/3914876501971542815",TikTok Video: #TbTw2uZz1obVRmTnhgsKnIVDH1PV1aetTwPSlbXrshWMVxlGCixNTkFAH/CcUHI=,"6,889",287,2,5,2,"3,337",101,49,9,0,0,
11,,madmeechayanid,https://www.tiktok.com/@madmeechayanid,"46,500",155,11,8,1,2,TRUE,FALSE,,"สาขา Little Walk กรุงเทพกรีฑา 
27 พ.ค. 69 - 16:00",,,,,,,,,,,,,,,,,,,,,
12,Done,wachiraphorntawar,https://www.tiktok.com/@wachiraphorntawar,"11,300",512,96,94,1,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 16:00",สายสุ่มมาทางนี้ zus coffee มานำเสนอซองสุ่มยั่วๆ ที่ใครจะอดใจไหม รีบมาสะสมให้ครบทั้ง 8 แบบเลยน้าา วันนี้ - 12 มิถุนายน เท่านั้น “ความอร่อยครบรส ไปกับ Zus coofee ค้าา ,https://drive.google.com/drive/folders/16ikU9pq3Cg-60h1Nb4hEMyH9Yzy0ze2E,"เพิ่มกิจกรรมวันที่ 3-12 มิ.ย.
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","เพิ่มกิจกรรมวันที่ 3-12 มิ.ย.
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/file/d/1w3_b5Son9JVMgo80qwpWYuvNirTJEqZR/view?usp=drivesdk,ผ่าน,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQr6aG1G/
IG Reels: https://www.instagram.com/reel/DZU9KK8S19q/
IG Post: https://www.instagram.com/p/DZU-VV9Eusm/
IG Story: https://www.instagram.com/stories/bobo_lovely/3915023747501957872","TikTok Video: #M5od4etFZ+TwkQdCADVOxWJxAox+aU+smq2qE7A/Ao0tz1GuAG4tJt2Ku7bSoJ0=
Facebook: fbadcode-Q_GkBQ2gvi9NuIpEAqf8uPd4O9rpYDvdcJ7d5jKM-aCxrWNBCaA-rmOToQHP3A02eQ",145,8,0,1,0,555,16,0,0,0,0,
13,Done,bestktsz,https://www.tiktok.com/@bestktsz,"20,100","5,488",1581,1414,2,165,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 14:00","ช่วงนี้แวะ ZUS Coffee บ่อยมากกก ☕️💙 ไม่ใช่แค่เพราะกาแฟนะ แต่โดน ZUS Hippers Collection ตกเต็ม ๆ 🥹✨

คือแค่ซื้อเครื่องดื่มครบ 80 บาทต่อบิล ก็รับฟรี Hippers Collection 1 ซอง ลุ้นกันไปเลยว่าจะได้น้องตัวไหน บอกเลยว่าตอนแกะตื่นเต้นไม่แพ้ตอนรอกาแฟเลย 📦💕

ส่วนตัวชอบความน่ารักของแต่ละคาแรกเตอร์มาก เอาไปติดโต๊ะทำงาน ติดมุมโปรด หรือวางตกแต่งก็เพิ่มความสดใสได้สุด ๆ

ใครเป็นทั้งสายกาแฟและสายสะสมแบบเบส แนะนำให้รีบไปตำเลยน้าาา สั่งผ่าน ZUS App ได้ทั้ง Pick และ Delivery สะดวกมาก ✨

@zuscoffee.th

#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/18dpJyDjMhdxfLyMEVJtvW4t2xamlNkrr,"0.18, 0.45 - ตัดที่พูดถึง secret ออก
ตัดจบตอน 0.50 ตอนพูดจบ

 ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress","0.18, 0.45 - ตัดที่พูดถึง secret ออก
ตัดจบตอน 0.50 ตอนพูดจบ

 ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/18dpJyDjMhdxfLyMEVJtvW4t2xamlNkrr,ผ่าน,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video:  https://vt.tiktok.com/ZSQyGESDF/
IG Reels: https://www.instagram.com/reel/DZcNA8szXxa/
IG Post: https://www.instagram.com/p/DZcNUugE7Ma/
IG Story: https://www.instagram.com/stories/bestktsz/3917066007416286601",TikTok Video: #gh1fr5Jb2z0+51wW+rlHP8lpZTa+mrtZ1kNGKstApU5720HWlfrjVpKq8GfSp8k=,483,27,0,0,0,"1,356",21,2,3,0,0,
14,Done,kimmyoiu,https://www.tiktok.com/@kimmyoiu,"10,100","1,371",28,24,1,3,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก 
4 มิ.ย. 69 - 16:00","แค่ซื้อเครื่องดื่มที่ ZUS Coffee ครบ 80.- ก็ได้ซองจุ่ม Hippers คอล Work in Progress ฟรีแล้วทุกคน! 💙 คิวท์มาก เอามาแปะโทรศัพท์แปะคอมฮีลใจตอนทำงานสุดๆ รีบพุ่งตัวไปจุ่มด่วนๆ ตั้งแต่ 3-12 มิ.ย. นี้เลยน้าาา 🍵✨ 📍Zus Coffee ทุกสาขา @zuscoffee.th

#zuscoffee #zuscoffeeth
",https://drive.google.com/drive/folders/1wMClVA9NsWEc6T6tR35iFB6p4cbb5u5i,"0.36 - ตัดที่พูดถึงตัว Secret ออก

(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","0.36 - ตัดที่พูดถึงตัว Secret ออก

(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/drive/folders/1wMClVA9NsWEc6T6tR35iFB6p4cbb5u5i,ผ่าน,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQreb5K5/
IG Reels: https://www.instagram.com/reel/DZUnjU9tYpl/
IG Post: https://www.instagram.com/p/DZU2ROOGlbQ/
IG Story: https://www.instagram.com/stories/kimxxzq/3914993262712956901",TikTok Video: #oanZoXFXPk6dWhfsV2ZfqHK5qS8hkz8B1cA5zHB51iYLQOgfzIIsUVyhjroFCgM=,212,3,0,2,1,385,7,0,0,0,0,
15,Done,papainhaii,https://www.tiktok.com/@papainhaii,"20,000",851,46,41,4,1,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก
3 มิ.ย. 69 - 13:00","🧋ซื้อกาแฟแล้วได้ลุ้นความน่ารักเพิ่มด้วย
จากจุ่ม ZUS BUDDY HIPPERS😃

 @zuscoffee.th
ซื้อเครื่องดื่มครบ 80฿/บิล
รับ 1 จุ่ม Hippers Collection🎉
น้องน่ารักมาก ตามมาจุ่มกันได้เลย!

📍ZUS Coffee ทุกสาขา
📅 3-12 มิถุนายน 2569
📱 สั่งผ่าน ZUS App ได้ทั้ง Pick Up และ Delivery

 #zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1dUZAb-bNjmRM38JzTydGkWLWZoocyjOF,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQ81JkFs/
IG Reels: https://www.instagram.com/reel/DZNDGUBTwMq/
IG Post: https://www.instagram.com/reel/DZNDGUBTwMq/
IG Story: https://www.instagram.com/stories/papainhaii/3912797779123207841",TikTok Video: #lpv546BKAqfQPHmd32fwJVEqrmi82CDxBH5YSKj6ZaGL3WBAEKQz/gSmrQx8J2s=,"1,347",112,16,9,2,"1,075",48,2,0,0,0,
16,Done,aingchuta,https://www.tiktok.com/@aingchuta,"60,700","2,922",617,599,1,17,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 14:00",รับฟรี! ซองสุ่ม Hippers Collection ซื้อเครื่องดื่มครบ 80 บาท ตั้งแต่วันนี้ - 12 มิ. ย นี้เท่านั้น,https://drive.google.com/file/d/1RaRJ8dLB4XnJK7bPE92N9LtUDmgxRtjs/view?usp=drivesdk,"ผ่าน
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","1. 0.24 - 0.26 ตัดออก เป็นตอนดูดเลย
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/file/d/1iBjh9M-8gfu8jRvMOtXjEF0HuB3AqTXW/view?usp=drivesdk,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSQ8dYbdx/
IG Reels: https://www.instagram.com/reel/DZM3e8myocP/
IG Post: https://www.instagram.com/reel/DZM3e8myocP/
IG Story: https://www.instagram.com/stories/ainginggg/3912746942850029836",TikTok Video: #Z4XGEB2vZ/Ntgwjnn70KkVLQZpiKJN8AABDpzZ7rVqd/A81uyoLr7BJei15c9Ks=,"4,763",289,0,19,16,"1,041",25,0,1,0,0,
17,,doublefimph, https://www.tiktok.com/@doublefimph,"1,312",403,51,30,7,14,TRUE,FALSE,,"สาขาวานิช เพลส อารีย์ 
3 มิ.ย. 69 - 14:00",,,,,,,,,,,,,,,,,,,,,
18,Done,vousbeemvoyez,https://www.tiktok.com/@vousbeemvoyez,"13,300",299,29,23,3,3,TRUE,FALSE,TRUE,"สาขา Thyme บางนา 
27 พ.ค. 69 - 14:00",จุ่มมาแล้วจ้าาาา ฟิกเกอร์สุดคิ้วจาก ZUS COFFEE วันนี้มีให้สะสมกันแล้ววว Hippers Collection ใครได้ตัว Secret มาอวดกันด้วยนะค่า! พิกัด ZUS COFFEE ทุกสาขา เพียงซื้อ เครื่องดื่มครบ 80.- ต่อบิลขึ้นไป รับฟรี 1 จุ่ม!!! สุดจะเริ่ดดดด ไปสาขาใกล้บ้านด่วนนน,https://drive.google.com/drive/folders/135Iq3oFCMT9dklsiGBpV51PuJ5Yk0Ptd,"ผ่าน
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","1. 0.08 แก้ไข สาขา ""Thyme Bangna"" ไธม์บางนา
2. 0.35 มิ.ย.
3.(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/drive/folders/135Iq3oFCMT9dklsiGBpV51PuJ5Yk0Ptd,"ผ่าน
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress","TikTok Video: https://vt.tiktok.com/ZSxoNmqpU/
IG Reels: https://www.instagram.com/reel/DZIBnKnszdw/
IG Post: https://www.instagram.com/p/DZIEaqOGoyJ/
IG Story: https://www.instagram.com/stories/vousbeemvoyez/3911392184075297220",TikTok Video: #cizzxyRgVh8p0CjVzy7JHg3orIkMlYLEL58nDRFEnH+NGmZloeKrlH/sUrQEHao=,417,14,0,0,1,"1,539",36,4,2,0,0,
19,Done,mycookiehouse,http://www.tiktok.com/@mycookiehouse,"14,200","102,200",7336,4800,36,2500,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 14:00","ZUS มีซองจุ่มแล้ววววน่ารักมาก
พิกัด : ZUS COFFEE ทุกสาขา✨👀

@zuscoffee.th
#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1UzpRqrNR3XUfk4Wqz5YI1ustfHdlsUz3,-,ผ่าน (ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress),,,,"TikTok Video: https://vt.tiktok.com/ZSQ2o7Y9P/
IG Reels: https://www.instagram.com/reel/DZNel44zeDT/
IG Post: https://www.instagram.com/p/DZPya99k83u/
IG Story: https://www.instagram.com/stories/mycookie.house_/3913567289375456758",TikTok Video: #W8FCaCyP0v4rMWPVSKUlfgpDtk2EXXBEbvZXNZ259XruKaWzoVn3mcMZy8Ndz6s=,346,10,1,0,12,332,9,0,0,0,0,
20,,mama_pangreview,https://www.tiktok.com/@mama_pangreview,"3,902",221,10,8,1,1,TRUE,FALSE,,- -,,,,,,,,,,,,,,,,,,,,,
21,Done,gungging__g,https://www.tiktok.com/@gungging__g,"143,300",227,21,19,1,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 14:00",ทุกคน ZUS Coffee เขามีแคมเปญใหม่อีกแล้วอ่ะ แล้วแคปเปญนี้น่ารักมากกซื้อเครื่องดื่มแล้วก็ได้จุ่มฟิกเกอร์ด้วย😍✨ ,https://drive.google.com/drive/folders/1DY1iiETYtsmPWa9mSSxswD42wV2gokLV,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQNSybpu/
IG Reels: https://www.instagram.com/reel/DZPB7GyRNJI/
IG Post: https://www.instagram.com/reel/DZPB7GyRNJI/
IG Story: https://www.instagram.com/stories/gungging__g/3913358361299615047",TikTok Video: #hpPzdEUyMjckDeJDdEuRT+rFs4yS1uEtx5Pf0uRu4yBRud8q0IiEwTCThaMe7SA=,227,11,1,2,0,"2,811",42,0,1,0,0,
22,cancel,captain.akb,https://www.tiktok.com/@captain.akb,"1,498",205,20,17,2,1,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
3 มิ.ย. 69 - 12:00",,,,,,,,-,-,,,,,,,,,,,,
23,Done,maprawdietagain,https://www.tiktok.com/@maprawdietagain,"108,100","25,077",68,58,3,7,TRUE,FALSE,TRUE,"สาขา Little Walk กรุงเทพกรีฑา 
28 พ.ค. 69 - 14:00","แค่จะมาซื้อกาแฟ… สรุปมานั่งลุ้น Hippers กันทั้งโต๊ะ 🥹💖
น้องน่ารักเกินต้านนน~ ซื้อเครื่องดื่มครบ 80 บาท/บิล รับฟรี Hippers Collection 1 ซองสุ่มเลย!

📍3–12 June ที่ ZUS Coffee ทุกสาขา
แนะนำสั่งผ่าน ZUS App ได้ทั้ง pick up & delivery ✨
@ZUSCoffee.th

#zuscoffee #zuscoffeeth #HippersCollection ",https://drive.google.com/drive/folders/18rDb__wL9b0Mtu6tExEWZfwbtqP60Rai,"1. ""Matcha Latte กับ Americano"" โชว์ถึงวิที่ 0.31 พอ","1. ""Matcha Latte กับ Americano"" โชว์ถึงวิที่ 0.31 พอ
ใส่แคปชั่น #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/18rDb__wL9b0Mtu6tExEWZfwbtqP60Rai,"ผ่าน
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน + แก้ Latte พิมพ์ใหญ่ 
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSxTTq4vY/
IG Reels: https://www.instagram.com/reel/DZFRSAGi7Z6/
IG Post: https://www.instagram.com/p/DZHKhcUmYVy/
IG Story: https://www.instagram.com/stories/maprawkan/3910609664345254762","TikTok Video: #BNX2udGKO9BFbeaM50OyNPE4he9eYwjnLP+pIUG+neyBDytg6XbWRUPf06orFTE=
Facebook: fbadcode-Q_GkBQ2asKlDrB-whMGRkNsLQOiKDIfvFqdIQfqgXb_FQWe2npzUVUfuhjmSKyE-NA",408,20,3,4,4,"2,408",51,5,5,0,0,
