                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
6,,mmelaniee29,https://www.tiktok.com/@mmelaniee29,"1,616",295,40,35,2,3,TRUE,FALSE,,"สาขา SCB Park Plaza
8 มิ.ย. 69 - 14:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
7,Done,boattnp_,https://www.tiktok.com/@boattnp_,"11,600","11,600",1718,1595,121,2,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
8 มิ.ย. 69 - 10:00","ZUS Coffee ออกคอลเลคชั่นใหม่มาให้จุ่มกันแล้วกับ Work In Progress Collection แค่ซื้อเครื่องดื่มเมนูใดก็ได้ครบ 150 บาทต่อบิลรับไปเลย 1 จุ่ม 
ทุกคนสามารถตามมาจุ่มได้เลยที่ Zus coffe ทุกสาขาในช่วงวันที่ 13-21 มิถุนายน รีบตามไปเก็บได้เลย
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1ZBA_Elt5WiO4zeXcCUUXkJ3BYI5RjCXx,"- ขอเอาคลิปจากวินาทีที่ 0.41 ที่เห็นน้องน่ารัก มาขึ้นต้นคลิปแทนซักประมาณ 1-2 วินาที เพื่อดึงดูดความสนใจได้มั้ยนะค้า
- 1.05 รบกวนเขียนปีด้วย เป็น 13 - 21 มิถุนายน 2569
- รบกวนเขียน Text ชื่อเครื่องดื่มตอนพูดถึงเครื่องดื่มนั้นๆ","- ขอเอาคลิปจากวินาทีที่ 0.41 ที่เห็นน้องน่ารัก มาขึ้นต้นคลิปแทนซักประมาณ 1-2 วินาที เพื่อดึงดูดความสนใจได้มั้ยนะค้า
- 1.05 รบกวนเขียนปีด้วย เป็น 13 - 21 มิถุนายน 2569
- รบกวนเขียน Text ชื่อเครื่องดื่มตอนพูดถึงเครื่องดื่มนั้นๆ",https://drive.google.com/drive/folders/1ZBA_Elt5WiO4zeXcCUUXkJ3BYI5RjCXx,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQu8p5M2/
IG Reels: https://www.instagram.com/reel/DZgwrfihzv3/
IG Post: https://www.instagram.com/p/DZgt3Oak7Ie/
IG Story: https://www.instagram.com/stories/boattnp._/3918338318379297090",TikTok Video: #EgSbOXUhVpX/x+RPvio0wE5DD4VJ1Cu87meGclPaNAWxf5U7R/mHab6AY5e9PtA=,"1,264",53,3,1,0,134,3,0,0,0,0,
8,,kwonmabells,https://www.tiktok.com/@kwonmabells,"13,900",813,46,38,3.6,5,TRUE,FALSE,,"สาขา SCB Park Plaza
8 มิ.ย. 69 - 16:00",,,,,,,,,,,-,-,,,,,,,,,,,,
9,Done,pluem.npt,https://www.tiktok.com/@pluem.npt,"1,122","10,199",371,220,5.5,145.33,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
9 มิ.ย. 69 - 20:00",สายสะสมห้ามพลาด! ZUS Coffee ออกคอลใหม่ WIP Collection แต่ละตัวคือน่ารักมากก ซื้อเครื่องดื่มเมนูใดก็ได้ 150 บาทต่อ 1 ใบเสร็จ ก็ได้ลุ้น 1 จุ่มเลย✨ ใครได้ตัวไหนมาอวดหน่อย! #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress ,https://drive.google.com/file/d/1YfNg5XjC73xngNuyDYJaGvcBTr6mgD7M/view?usp=drivesdk,,0.13 ย้ายฟ้อนต์มาไว้ตรงกลางได้มั้ยคะ,https://drive.google.com/file/d/1yJn0XHfk63AAlAuhUHUZXnnpUFN3FCNT/view?usp=drivesdk,"ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)","ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)",,,,"TikTok Video: https://vt.tiktok.com/ZSQmwWra3/
IG Reels: https://www.instagram.com/reel/DZgnKX0Posb/
IG Post: https://www.instagram.com/reel/DZgnKX0Posb/
IG Story: https://www.instagram.com/stories/pppluem.npttt/3918314512604672925",TikTok Video: #f8eVAM8Gjrqm7e0TTQ13nER8O4hQ+kQFiOe0Kv98jJSQ6G0nD6vY3eBAl+idpKQ=,443,8,2,1,0,483,9,2,4,0,0,
10,,finfirstz,https://www.tiktok.com/@finfirstz,"10,700","2,508",110,90,18.85,1.35,TRUE,FALSE,,"สาขา Central พระราม 9
8 มิ.ย. 69 - 12:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
11,Done,mycookiehouse,http://www.tiktok.com/@mycookiehouse,"23,600","14,200",107036,102200,4800,36,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 14:00","ZUS มีกล่องจุ่มแล่วนะทุกคนนน น่ารักมากกกกก👀✨💗 

พิกัด : ZUS COFFEE ทุกสาขาเบย🥰 #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1su-85lJGPTOSoX2CgAsyL8Jc1nqnYJ_C,,0.59 แก้จากตั้งแต่วันนี้ เป็น 13 - 21 มิ.ย. 69,https://drive.google.com/drive/folders/1su-85lJGPTOSoX2CgAsyL8Jc1nqnYJ_C,,"0.59 แก้จากตั้งแต่วันนี้ เป็น 13 - 21 มิ.ย. 69 แก้ฟอนต์ด้วยค่ะ 
แก้แล้วผ่านค่ะ ตอนลงฝากใส่เพลง",,,,"TikTok Video: https://vt.tiktok.com/ZSQXWLmgU/
IG Reels: https://www.instagram.com/reel/DZhdcnSzBei/
IG Post: https://www.instagram.com/p/DZPya99k83u/",#yE201ZrXXQq3XdSYCBpKEno2tlE5l27sL5XgghIFls6B+cJ7CI7+be13H+QWiPE=,252,12,1,0,8,359,10,0,0,0,0,
12,,zhoumeiying45,https://www.tiktok.com/@zhoumeiying45,"149,900","19,292",144,135,3.5,6,TRUE,FALSE,,"สาขา Central พระราม 9
9 มิ.ย. 69 - 18:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
13,Done,best.lingnoii,https://www.tiktok.com/@best.lingnoii,"47,100","47,100",432,405,26,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
8 มิ.ย. 69 - 10:00",กล่องสุ่มฟรี ไปด่วน ‼️#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress,https://drive.google.com/drive/folders/1sgEiwN3EjDVgcbvti6mHhGRdi9L3cur1,- รบกวนเติมเพลงสนุกๆสไตล์อินฟลูฯ ตลอดทั้งคลิป,"-0.06 เอา text เดิม ออก ใส่  ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรี! กล่องสุ่ม 1 กล่อง
- 0.33 เพิ่ม ตั้งแต่ 13-21 มิถุนายน 2026
- รบกวนเติมเพลงสนุกๆสไตล์อินฟลูฯ ตลอดทั้งคลิป",https://drive.google.com/file/d/1yZ-0u9tL_xS6kwkL1TTVFc1MBSC6ScdO/view?usp=drivesdk,"- 0.34 คำว่า ซื้อ เกินมา ต้องมีแค่คำว่าตั้งแต่
- ลืมตัดเพลงตั้งแต่วินาทีที่ 0.40 ออก","- 0.34 คำว่า ซื้อ เกินมา ต้องมีแค่คำว่าตั้งแต่
- ลืมตัดเพลงตั้งแต่วินาทีที่ 0.40 ออก",https://drive.google.com/drive/folders/1WY5Eh6FORYd7PAq8EsH4suVOFULQ_Pqs,,ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSQn44tgP/
IG Reels: https://www.instagram.com/reel/DZu4olez4nZ/
IG Post: https://www.instagram.com/p/DZgpvpgk0Lx/",#ad5cud00y2EIP6XJOh6nPXkfDhFkpZGeNnhdTd3V60P4bb/bj1H2GrvhDnb+ZWE=,"7,547",138,0,2,0,"2,737",26,0,0,0,0,
14,Done,tynpk,www.tiktok.com/@tynpk,"13,600","2,957",57,47,2,8,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์
8 มิ.ย. 69 - 09:00","ทุกคน ZUS Coffee มีกล่องสุ่ม Art Toy แล้วน่ารักมากกก ซื้อเครื่องดื่มครบ 150 บาท/บิล รับฟรีกล่องสุ่ม WIP Collection 1 กล่อง ยังได้ลุ้น Secret Character ด้วย 👀💙
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1yQCNTx8gJahGz1IfqRv42hz30ZcaiJlE,- 0.40 รบกวนเพิ่มปีเป็น 13 - 21 มิถุนายน 2569,"- 0.40 รบกวนเพิ่มปีเป็น 13 - 21 มิถุนายน 2569
(แก้แล้วผ่านเลยค่ะ อาจจะใส่เพลงตอนลงเพิ่ม)
",,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQyWdnDv/
IG Reels: https://www.instagram.com/reel/DZcNtu9TXO0/
IG Post: https://www.instagram.com/p/DZcOaeJE-kt/
IG Story: https://www.instagram.com/stories/tynpkk/3917071246118757642",TikTok Video: #dthS+aURpoWSAm4t7LP+W2CNOpIFRZfu7P28Jnsz7e3gnVILw/QEcVDnXshlWTU=,397,27,0,3,10,"2,192",29,2,0,0,0,
15,Done,madmeechayanid,https://www.tiktok.com/@madmeechayanid,"45,600","46,500",164,155,8,1,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
9 มิ.ย. 69 - 14:00","ซื้อกาแฟแถมกล่องสุ่มฟรี! 💙 แค่สั่งเครื่องดื่มครบ 150.- ที่ ZUS Coffee ก็รับกล่องสุ่มคอลใหม่ไปลุ้นฟรีๆ 1 กล่องเลย รอบนี้สุ่มได้น้อง Porta Pal น่ารักไม่ไหววว ตั้งแต่วันที่ 13 - 21 มิ.ย. นี้เท่านั้น 🎁✨

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress @zuscoffee.th",https://drive.google.com/file/d/1Z9dEr-25Vy5j3Sjatgk6LiVKKogv22FP/view?usp=drivesdk,,"0.10 - เอารูปออกค่ะ ใส่เงื่อนไขโปรโมชั้นแทน
0.25 - เพิ่ม text ตั้งแต่วันที่ 13 - 21 มิ.ย. 69", https://drive.google.com/file/d/1O06pH3b7KQVy2ZeL28PjEq2MQoD7QB1E/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQ4B3DTk/
IG Reels: https://www.instagram.com/reel/DZm9BfvubKp/",#jieNcpobzcWQ18Snr/7awxyQP8nND0+24Vwz428T9t6ZF/4G9s96SJgXD0amGO0=,236,11,0,2,1,508,17,5,1,0,0,
16,,wachiraphorntawar,https://www.tiktok.com/@wachiraphorntawar,"11,300","11,300",607,512,94,1,TRUE,FALSE,,- -,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
17,Done,triplemplusshop,https://www.tiktok.com/@triplemplusshop,"17,800","2,371",152,105,11.6,35.4,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
9 มิ.ย. 69 - 11.00","แคปชั่น ZUS Work in Progress VDO
จุ่ม สนุก ลุ้นแบบตื่นเต้น กับ แคมเปญ ZUS Hippers & Work in Progress กล่องจุ่ม ฟิกเกอร์สุดคิวท์ 8 คาแรคเตอร์ของ ZUS Buddy ลุ้นหาตัว Secret และสะสมให้ครบทั้ง 8 แบบ สายจุ่มต้องไม่พลาด
 ที่ ZUS Coffee ทุกสาขา ตั้งแต่ วันที่ 13 – 21 มิถุนายน 2569 	
#zuscoffee #zuscoffeeth #ZUSWIP # ZUSWorkInProgress

แคปชั่น ZUS Work in Progress รูปภาพ
จุ่ม สนุก ลุ้นแบบตื่นเต้น กับ แคมเปญ ZUS Hippers & Work in Progress กล่องจุ่ม ฟิกเกอร์สุดคิวท์ ของ ZUS Buddy ลุ้นหาตัว Secret และสะสมให้ครบคอลเล็กชัน ทั้ง 8  คาแรคเตอร์ และที่ต้องลุ้นเพราะ 2 ใน 8 นี้ จะเป็นตัว Secret เพียงแค่ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรี กล่องสุ่ม Work in Progress Collection 1 กล่อง ต้อง 150 บาท / บิล เท่านั้นนะ ได้สิทธิ์ 1 จุ่ม  สายจุ่มต้องไม่พลาด  
 ที่ ZUS Coffee ทุกสาขา ตั้งแต่ วันที่ 13 – 21 มิถุนายน 2569 	
#zuscoffee #zuscoffeeth #ZUSWIP # ZUSWorkInProgress",https://drive.google.com/drive/folders/1Ne-dooYToaCpA4NEiZP0AffmvMQrPMwy,"- 0.06 ตัดคำว่า ZUS Hippers & ออก เหลือแค่ ZUS Work in Progress
- รบกวนเพิ่ม Text ตอนที่พูดชื่อเมนู","- 0.06 ตัดคำว่า ZUS Hippers & ออก เหลือแค่ ZUS Work in Progress
- 0.31 Choco chipster แก้ไขคำผิด
- รบกวนเพิ่ม Text ตอนที่พูดชื่อเมนู",https://drive.google.com/drive/folders/1Ne-dooYToaCpA4NEiZP0AffmvMQrPMwy,- 0.42 แก้ไขคำผิดจาก Matha เป็น Matcha,- 0.42 แก้ไขคำผิดจาก Matha เป็น Matcha,https://drive.google.com/drive/folders/1Ne-dooYToaCpA4NEiZP0AffmvMQrPMwy,ผ่าน,ผ่าน,"TikTok Video:  https://vt.tiktok.com/ZSQqCtGqQ/
IG Reels: https://www.instagram.com/reel/DZo_yEdzyib/
IG Post: https://www.instagram.com/p/DZo_cBoH_4m/",#hR8Pysc3o/0ZP0ZxAA7Aq1kdQwxVx7xgs4SW/gNlHu3souIhKywwZ3+6SWFKB3I=,"2,073",74,6,15,23,234,16,6,0,0,0,
19,Done,papainhaii,https://www.tiktok.com/@papainhaii,"20,000","20,000",896,851,41,4,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก
8 มิ.ย. 69 - 15:00","👀รอบที่แล้วจุ่ม ZUS Buddy Hippers ไปแล้วติดใจ รอบนี้เห็น Work in Progress Collection ออกใหม่ก็ไม่พลาด!

🧋แค่ซื้อเครื่องดื่มครบ 150.-/บิล รับ 1 จุ่ม WIP Collection🎁
มีทั้งหมด 8 แบบ + Secret ด้วย 👀
@zuscoffee.th

📍ZUS Coffee ทุกสาขา
🗓️ 13 - 21 June 69
ใครได้ตัวไหนมาอวดกันหน่อย ☕💙

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress",https://drive.google.com/drive/folders/1-F7BEtoQrNS-NRPD8VbprhD5C3oKobEC,,0.11 / 0.18 แก้ว้อยซ์ work in progress ไม่ใช่ work in process,https://drive.google.com/file/d/1W5fN4gyHA41iX12d-MU4fcu07khmjoRd/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQuF6cDv/
IG Reels: https://www.instagram.com/reel/DZgy2VmT3R5/
IG Post: https://www.instagram.com/reel/DZgy2VmT3R5/
IG Story: https://www.instagram.com/stories/papainhaii/3918355891972438494",TikTok Video: #KVCtWfhcepLQZW4HYqEMo8ADTgGzMYOu7Z+TCXsvjyKTvKyJFYfrKKJLU74BM1E=,236,9,4,0,1,370,8,1,0,0,0,
18,,kimmyoiu,https://www.tiktok.com/@kimmyoiu,"10,100","10,100",1396,1371,24,1,TRUE,FALSE,,- -,,,,,,,,,,,-,-,,,,,,,,,,,,
20,Done,aingchuta,https://www.tiktok.com/@aingchuta,"60,700","60,700",3522,2922,599,1,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
13  มิ.ย. 69 - 18.00","  ZUS Work in Progress 
ซื้อเครื่องดื่มครบ 150 บาท รับฟรี กล่องสุ่ม  WIP collection 1 กล่อง / บิล

ตั้งแต่วันนี้ - 30 มิ. ย. 69 ZUS ทุกสาขา",https://drive.google.com/file/d/1yEWCF-B7ZIzVdLq9PzKamboE4QZv5ffh/view?usp=drivesdk,,1.08 เพิ่มตั้งแต่ 13-21 มิถุนายน 2026,https://drive.google.com/file/d/1Y6qLG-NKuPRPSNSRKVSZxYBVuc4mS2Zx/view?usp=drivesdk,,ผ่าน,,,,"TikTok Video: https://www.tiktok.com/@aingchuta/video/7651960234650389780?is_from_webapp=1&sender_device=pc&web_id=7623704387911697927
IG Reels: https://www.instagram.com/p/DZpVaP1yPuZ/",#w9lQm3gCPX5XQiIg4gTnSHKb50FB5ezXf0XtVmJgPNbjJu2PdkZXC9BRqTn8dzE=,"5,572",242,0,6,4,443,15,0,3,0,0,
21,Done,vousbeemvoyez,https://www.tiktok.com/@vousbeemvoyez,"13,300","13,300",325,299,23,3,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก
9 มิ.ย. 69 - 15:00","แอบไปจุ่มน้องมาอีกรอบ รอบนี้ตัวใหญ่กว่าเดิม! ฟิกเกอร์สุดคิ้วจาก ZUS COFFEE วันนี้มีให้สะสมกันแล้ววว WIP Collection แยากสะสมน้องให้ครบทุกแบบเลยอ่าาา
📍พิกัด ZUS COFFEE ทุกสาขา เพียงซื้อ เครื่องดื่มครบ 150.- ต่อบิลขึ้นไป รับฟรี 1 จุ่ม!!! ไปจุ่มมมม
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/143g4gVevISH91BWOhjofvXq64VYtHRGr,ผ่าน,ผ่าน ใส่เพลงตอนลง,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQfrC2db/
IG Reels: https://www.instagram.com/reel/DZcKAv8s35a/
IG Post: https://www.instagram.com/p/DZciuahFPt2/
IG Story: https://www.instagram.com/stories/vousbeemvoyez/3917051632869460010",TikTok Video: #DF4f/hM8IRwAVopZPuwd/Fbt5o691+Bt4cRA+6X8t0jnt+crk/5ZZZJungecAME=,"1,110",69,0,0,2,"1,538",37,2,2,0,0,
22,,mama_pangreview,https://www.tiktok.com/@mama_pangreview,"3,902","3,902",230,221,8,1,TRUE,FALSE,,- -,,,,,,,,,,,-,-,,,,,,,,,,,,
23,,gungging__g,https://www.tiktok.com/@gungging__g,"143,300","143,300",247,227,19,1,TRUE,FALSE,,- -,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
24,Done,mu_am_,https://www.tiktok.com/@mu_am_,"12,200","12,200",8704,8193,507,4,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
14 มิ.ย. 69 - 14:00",ยังไม่ทันเก็บคอลก่อนครบทุกตัว ออกใหม่อีกแล้ว รอบนี้ตัวใหญ่มาก น่ารักคูณสอง จะเป็นลม ไปตามเก็บที่ ZUS Coffee ทุกสาขาได้เลยยย #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress,https://drive.google.com/file/d/11ERWgr0bRENLHPmbGl3qBAYqDcgUNM9r/view?usp=sharing,,"-0.15 อาจจะเพิ่ม text ว่า 150 บาท / บิลค่ะ
-0.38 เพิ่มปี 2026 ค่ะ",https://drive.google.com/file/d/1MRfxYgGbCytrpPXk2VnnRnvLgo-bJa1C/view?usp=drivesdk,,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQsMhATV/
IG Reels: https://www.instagram.com/reel/DZr_ka_ymmG/
IG Post: https://www.instagram.com/p/DZsAwP2mDuv/",#zSABHZTIPdhhTphQDy2q/h1oCmL6XOXTWBE/L7K+Lclwb+kMxOMUOY5/DCIZ2Pw=,215,14,2,1,6,609,26,3,0,0,0,
25,Done,goagain25,https://www.tiktok.com/@goagain25,"12,300","12,300",3505,3300,200,5,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
9 มิ.ย. 69 - 18:00","กล่องสุ่ม Work in Progress Collection จาก ZUS COFFEE น่ารักมากเกินเว่อ แบบอยากได้นกแก็งส์เลยอ่ะ ง่ายๆ เพียงซื้อเครื่องดื่ม 150 บาท รับเลย 1 จุ่ม ร่วมรายการทุกสาขา ตั้งแต่วันที่ 13-22 มิ.ย.นี้เท่านั้น 
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinprogress",https://drive.google.com/file/d/1pVCBs5jg2Us9mqVljzeW-L1BdJ4ZHaL1/view?usp=drivesdk,,"0.02 - แก้ Collection C ใหญ่
0.18 - character เติม s ค่ะ
ใส่ระยะเวลาโปรผิดค่ะ ถึง 21 มิ.ย. 69",https://drive.google.com/file/d/1E4gz3PmruRZ9PSQT2mtKUtImxwgFY99n/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQu1eqBS/
IG Reels: https://www.facebook.com/share/r/196Xkv3o3E/
IG Post: https://www.instagram.com/reel/DZgoVi7zDh3/
IG Story: https://www.instagram.com/stories/go_again25/3918327578835012445",TikTok Video: #dU6fMX0V8/PJgppvWcIW5VUi86YtmvuO0Vf1P+hKonO8AH9Km9kgaUECYPlkS8A=,"11,700",29,2,4,1,361,13,3,0,0,0,
