                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
6,Done,aumkkkkk,https://www.tiktok.com/@aumkkkkk,"5,463",,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 11:00,ZUS Coffee now open at Cloud 11 #ZUSCoffee #ZUSCoffeeTH #Cloud11 ,https://drive.google.com/file/d/1j9qQaWSiAZPaoWGnhpx6eNYgLld6s5Un/view?usp=drivesdk,ผ่าน,0.10 - 0.15 เพิ่ม text เมนู ได้มั้ยคะ เพิ่มแล้วผ่านได้เลยค่ะ,,,,,,,"IG Reels: https://www.instagram.com/reel/DbARyyVh0o7/
IG Post: https://www.instagram.com/p/DbAUsY9mUvr/
TikTok Video: https://vt.tiktok.com/ZSXQxkuAm/",Gen Code (TikTok): #Conz4FRgrAz8ymtqWhYsA4ID2lF2JBKM/n9bvMZOIJq2Zp07KwJBnT1U1ys4aj8=,"4,434",19,1,1,2,344,17,0,0,0,0,
7,,katoontk,https://www.tiktok.com/@katoontk,20.3K,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,24ap.r,https://www.tiktok.com/share/user/7092423012724851739,22.3K,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,vousbeemvoyez,https://www.tiktok.com/share/user/6574258300996173825,13.3K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,chompinx,https://www.tiktok.com/share/user/73777430176,"6,061",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,xviii__8,https://www.tiktok.com/@xviii__8,10.6K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,hajoon_nw,https://www.tiktok.com/@hajoon_nw,"1,571",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,paphapaa,https://www.tiktok.com/@paphapaa,15.8K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,ducky.jesse,https://www.tiktok.com/@ducky.jesse,36.6K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,tiewpaisuaypaii.sine,https://www.tiktok.com/@tiewpaisuaypaii.sine,112.5K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,graphic.review,https://www.tiktok.com/@graphic.review,31.7K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,foonfonn,https://www.tiktok.com/@foonfonn,28.6K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,finfirstz,https://www.tiktok.com/share/user/73670131721,10.6K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,ppmriij,https://www.tiktok.com/@ppmriij,15.7K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,miss.marie39,https://www.tiktok.com/@miss.marie39,15.8K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,gerdtrips,https://www.tiktok.com/@gerdtrips,"1,562",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,flukexway,https://www.tiktok.com/@flukexway,"4,119",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,zhoumeiying45,https://www.tiktok.com/@zhoumeiying45,149.9K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,thomas_suii,https://www.tiktok.com/@thomas_suii,145.3K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,papabanbanfamily,https://www.tiktok.com/@papabanbanfamily,14.8K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,suasri.co,https://www.tiktok.com/@suasri.co,59.4K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,mycookiehouse,http://www.tiktok.com/@mycookiehouse,23.7K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,kimmyoiu,https://www.tiktok.com/@kimmyoiu,10.1K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,mickey.linn,https://www.tiktok.com/@mickey.linn,"2,479",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,mayyyuan,https://www.tiktok.com/@mayyyuan,"9,651",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,ployttn,https://www.tiktok.com/@ployttn,11K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,captain.akb,https://www.tiktok.com/@captain.akb,"1,498",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,sommickez,https://www.tiktok.com/@sommickez,17.4K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,reanhipp_o,https://www.tiktok.com/@reanhipp_o,48.7K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,kaipaoph7iv,https://www.tiktok.com/@kaipaoph7iv,"5,967",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,gungging__g,https://www.tiktok.com/@gungging__g,143.3K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,smxxe.98,https://www.tiktok.com/@smxxe.98,22.1K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,-,https://www.tiktok.com/share/user/6511617890902523906,"2,763",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,mornmellodyz,https://www.tiktok.com/@mornmellodyz,147.7K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,dish.is.dietfood,https://www.tiktok.com/@dish.is.dietfood,38.1K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,ilikemilo.o,https://www.tiktok.com/@ilikemilo.o,"2,610",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,lifewithapple.s,https://www.tiktok.com/@lifewithapple.s,177.8K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,saintststt,https://www.tiktok.com/@saintststt,144.1K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,giftounsaimoo,www.tiktok.com/@giftounsaimoo,35.7K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,madmeechayanid,https://www.tiktok.com/@madmeechayanid,46.3K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,gimjipingping,https://www.tiktok.com/@gimjipingping,185.2K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,da_chadon,https://www.tiktok.com/@da_chadon,10.8K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,mindharly,https://www.tiktok.com/@mindharly,36.2K,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,miraclemusic65,https://www.tiktok.com/@miraclemusic65,"5,180",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,acafeinmemories,https://www.tiktok.com/@acafeinmemories,"1,529",TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
51,,newyear.bing,https://www.tiktok.com/share/user/6898314241993458690,"5,275",TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
52,,lookped_meawmeaw,https://www.tiktok.com/@lookped_meawmeaw,23K,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
53,,naneawitch,https://www.tiktok.com/@naneawitch,152.8K,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
54,,miteen88,https://www.tiktok.com/@miteen88,"1,798",TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
55,,parichat.mukk,https://www.tiktok.com/@parichat.mukk,20.5K,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
56,,gowithlove0,https://www.tiktok.com/@gowithlove0,"6,935",TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
57,,superlinllyn,https://www.tiktok.com/@superlinllyn,"8,469",TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
58,,babyyelly,https://www.tiktok.com/@babyyelly,"1,506",TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
59,,mommypangg,https://www.tiktok.com/@mommypangg,"2,714",TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
60,,jamjampeipei,https://www.tiktok.com/@jamjampeipei,"4,301",TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
61,,khunchom.__.p,https://www.tiktok.com/@khunchom.__.p,15.6K,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
62,,095bank,https://www.tiktok.com/@095bank,12.3K,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
63,,baitong_little_duck,https://www.tiktok.com/@baitong_little_duck,18.7K,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
64,,minixx_t,https://www.tiktok.com/@minixx_t,13.6K,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
65,,live_and_run,https://www.tiktok.com/@live_and_run,"1,174",TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
