                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19,,,,
KOL2,Done,natthidanino,https://www.tiktok.com/@natthidanino,"165,200",,,,,,TRUE,FALSE,TRUE,,"Vanit Place อารีย์
28 มิ.ย. 69 - 13.00",ซื้อกาแฟแถมยาดมมีที่zuscoffeeทีเดียวเท่านั้นพร้อมมี coconut series ให้ลองกัน🥥🍵🩷,https://drive.google.com/file/d/1HnPCadJTFTbSFWzfc3iHYDWLtHbikAZ0/view?usp=drivesdk,"0.07 - Soothe Up The Day เขียนผิด
0.52 - กรกฎาคม เขียนผิด
0.59 - ZUS App แทนค่า","เเก้ไขตาม Foxtells
ฝาก Influ ติด AW ของ Campaign เพิ่ม",https://drive.google.com/file/d/1_Ry98pF5AHEZAL6rm78TC0004Zm3qKSh/view?usp=drivesdk,ผ่าน,ผ่าน,,,,TikTok Video: https://vt.tiktok.com/ZSC9U8hWd/ ,Gen Code (TikTok):  #nlVXiwXUYj9VzovOLSTm31o2YSiMuOecyCxByu3reU+brbScZm8QzXicoyP6r74=,"27,789","1,254",22,119,135,-,-,-,-,-,-,KOL Foodie | KOL Activity,,,,
1,,gungging__g,https://www.tiktok.com/@gungging__g,"143,300",,,,,,TRUE,,FALSE,1,"Central พระราม 9
27 มิ.ย. 69 - 07:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
4,,live_and_run,https://www.tiktok.com/@live_and_run,"1,174",,,,,,TRUE,,,1,"Central พระราม 9
27 มิ.ย. 69 - 11.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
1,Done,vousbeemvoyez,https://www.tiktok.com/@vousbeemvoyez,"13,300",,,,,,TRUE,,TRUE,1,"บ้านก้ามปู (อโศก)
28 มิ.ย. 69 - 14.00","ช่วงบ่ายฝนตกแบบนี้ไม่อ่อมแน่นอนถ้ามาที่ ZUS COFFEE!!! จะดมยาดมมังกรทองหรือจะดื่มCoconut Matcha ก็คื้ออออ 👀✨ ตื่นจ้ะ!!!  #zuscoffee #zuscoffeeth

🍵😱ของมีจำนวนจำกัดรีบมาน้าาา #zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1Atl7oqlA3tU6XpVzWmpiVbdxD0sy_2K9,ผ่าน,เสียงพากษ์เบาไปนิดนึง เพิ่มเสียงอีกได้ไหม,https://drive.google.com/drive/folders/1Atl7oqlA3tU6XpVzWmpiVbdxD0sy_2K9,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCuyXoPY/
IG Reels: https://www.instagram.com/reel/DaPfKFYMMmg/
IG Post: https://www.instagram.com/p/DaQGMp4lB9R/
IG Story: https://www.instagram.com/stories/vousbeemvoyez/3931670371189823524",Gen Code (TikTok): #J84UP+tcmoIwSRVTfAxJ+FDlUNXzcJPhEYZ9L20NPCThkVQ7spegSXZWrhzLayE=,"2,408",12,3,2,0,"2,249",3,4,1,0,0,,,,,
8,,suasri.co,https://www.tiktok.com/@suasri.co,"59,400",,,,,,TRUE,,,1,"Central พระราม 9
27 มิ.ย. 69 - 16.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
9,,bbeembenja,https://www.tiktok.com/@bbeembenja,"21,900",,,,,,TRUE,,,1,"Vanit Place อารีย์
27 มิ.ย. 69 - 11.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
11,,al_explore,https://www.tiktok.com/@al_explore,"9,448",,,,,,TRUE,,,1,"Central พระราม 9
28 มิ.ย. 69 - 12.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
2,Done,oillonglaew,https://www.tiktok.com/@oillonglaew,"20,700",,,,,,TRUE,,TRUE,1,"SCB Park Plaza
27 มิ.ย. 69 - 11.00","ZUS coffee มีแถมยาดมตามังกรทอง เลิศเกินนน !! เพียงแค่ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรี เคสสุด cute และยาดมตรามังกรทองฟรี ✨ 
ระยะเวลาจัดกิจกรรมตั้งเเต่ 1-31 ก.ค. 69 นี้เท่านั้น 
#zuscoffee #zuscoffeeth #ยาดมตรามังกรทอง #zusxยาดม #รีวิวเครื่องดื่ม",https://drive.google.com/file/d/1K8gE7R9yNn5COnTX9x1y4d7uT3ilZo1c/view?usp=drivesdk,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCu4LB1L/
IG Reels: https://www.instagram.com/reel/DaQHbjZh_Cf/
IG Post: https://www.instagram.com/p/DaQQ69WAZ1H/
IG Story: https://www.instagram.com/reel/DaQHbjZh_Cf/",Gen Code (TikTok): #Q7lMZXX3bC1AcQtP0Sg9w5Sz1EOH5upELXzhL4IeWfXR11/ztUcGZWyss62FKLs=,"4,436",16,0,2,2,152,4,0,0,0,0,,,,,
14,,giftounsaimoo,www.tiktok.com/@giftounsaimoo,"35,700",,,,,,TRUE,,,1,"Central พระราม 9
27 มิ.ย. 69 - 17.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
16,,095bank,https://www.tiktok.com/@095bank,"12,300",,,,,,TRUE,,,1,"Central พระราม 9
28 มิ.ย. 69 - 14.00",,,,,,,,,,,,,"1,928",24,6,20,2,"1,503",3,38,,-,-,,,,,
19,,madmeechayanid,https://www.tiktok.com/@madmeechayanid,"46,300",,,,,,TRUE,,,1,"Central พระราม 9
28 มิ.ย. 69 - 13.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
3,Done,flukexway,https://www.tiktok.com/@flukexway,"4,119",,,,,,TRUE,,TRUE,1,"Central พระราม 9
27 มิ.ย. 69 - 14.00",ชีวิตติดแกรมแต่แอบติดง่วง 🤣 ต้องคู่นี้! สดชื่นคูณสองกับ Coconut Series แวะมารับไอเทมสุดคิ้วท์ฟรี! แค่ซื้อเครื่องดื่มที่ ZUS Coffee ครบ 150.-/บิล ก็รับเคส+ยาดมมังกรทองไปเลยย 🥥☕️ รีบไปจัดด่วนของมีจำกัด! 💙💛 @zuscoffee.th #zuscoffee #zuscoffeeth,https://drive.google.com/drive/folders/14htpptMpDQiMvTHqN6RrwcuXc0I_4QDJ?usp=sharing,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCaBeEg9/
IG Reels: https://www.instagram.com/reel/DaOp_eOzS_1/
IG Post: https://www.instagram.com/p/DaOqN78E1f3/
IG Story: https://www.instagram.com/p/DaOqN78E1f3/",Gen Code (TikTok): #QRWnmJfZQNDgSwt0hR9PyvY/WVqJ9A5TkMccibvHj5JO05F0+Ea5hQksFw35e8A=,"2,572",10,1,2,2,"1,360",27,2,2,0,0,,,,,
24,,best.lingnoii,https://www.tiktok.com/@best.lingnoii,"47,100",,,,,,TRUE,,,1,"Vanit Place อารีย์
27 มิ.ย. 69 - 11.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
25,,mean.tita,https://www.tiktok.com/@mean.tita,"11,300",,,,,,TRUE,,,1,"Central พระราม 9
27 มิ.ย. 69 - 17.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
29,,aingchuta,https://www.tiktok.com/@aingchuta,"60,700",,,,,,TRUE,,,1,"Central พระราม 9
27 มิ.ย. 69 - 17.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
4,Done,saintststt,https://www.tiktok.com/@saintststt,"144,100",,,,,,TRUE,,TRUE,1,"บ้านก้ามปู (อโศก)
27 มิ.ย. 69 - 17.00","สูด–ซูสสส์–สูตร–สดชื่น! 💙🌬️

Coconut Series🥥 @ZUSCoffeeth

🌴 ซื้อเครื่องดื่มครบ 150 บาท/บิล รับฟรี! เคสพร้อมยาดมมังกรทอง 1 อัน🐲

📍ZUS Coffee ทุกสาขา
🗓️ 1–31 Jujly

#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1OkSD1ljtmMkhvySk73obyXIH--P_GR0h,"0.26 - เพิ่ม text ชื้อครบ 150.-
0.29 - เพิ่ม text รับฟรีเคสยาดม ZUS Coffee พร้อมยาดมมังกรทอง
0.39 - เพิ่ม text 1-31 ก.ค. 69","0.26 - เพิ่ม text ชื้อครบ 150.-
0.29 - เพิ่ม text รับฟรีเคสยาดม ZUS Coffee พร้อมยาดมมังกรทอง
0.39 - เพิ่ม text 1-31 ก.ค. 69",https://drive.google.com/drive/folders/1OkSD1ljtmMkhvySk73obyXIH--P_GR0h,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCuBjKNV/
IG Reels: https://www.instagram.com/reel/DaP5VreTL4i/
IG Post: https://www.instagram.com/p/DaP6xnSE4k6/
IG Story: https://www.instagram.com/stories/saintstst/3931620820837961640",Gen Code (TikTok): #dt3qN9mdk/0wNvJwW5zMWg9LB3t44gQ9/7cvnX+U9fPD1uJ/kp36iGlD8W39KhQ=,"2,242",36,0,0,3,"1,560",3,1,1,0,0,,,,,
5,Done,baitong_little_duck,https://www.tiktok.com/@baitong_little_duck,"18,700",,,,,,TRUE,,TRUE,1,"SCB Park Plaza
27 มิ.ย. 69 - 15.00","ZUS Coffee x อ้วยอันโอสถ
ซื้อครบ 150.- รับฟรีเคสพร้อมยาดมมังกรทอง ✨
แคมเปญนี้คือสดชื่นและกิ๊บเก๋เกิน

#zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1myubE1H9jo_rzVjGiRQ5FUiKkoHjPDZs/view?usp=drivesdk,0.30 - ออกเสียงว่า บัตเตอร์-เคร็ม,0.30 - ออกเสียงว่า บัตเตอร์-เคร็ม,https://drive.google.com/file/d/18rNZkBHVQ3cvQG9NcCpSou_vtKWGvNDA/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCuH44Xt/
IG Reels: https://www.instagram.com/reel/DaQK9DVqX5r/
IG Post: https://www.instagram.com/p/DaQMD55GM_e/
IG Story: https://www.instagram.com/stories/qmirana/3931692485621451513",Gen Code (TikTok): #xABxIgKwcK8j2oLfLASyLX4Xo4P6l+78SCJ/sU7h99qrNKPDFEjyKX/NdEs1m90=,"2,181",13,2,3,4,115,3,0,0,0,0,,,,,
6,Done,jormorcute,https://www.tiktok.com/@jormorcute,913,,,,,,TRUE,,TRUE,1,"Vanit Place อารีย์
27 มิ.ย. 69 - 11.00","ZUS coffee × ยาดมมังการทอง 💙🥥🌴

⭐️ มาลองเมนูใหม่ Coconut Series ของที่ร้าน
- Buttercreme coconut 
อร่อยนัว ครีมมี่ๆ 
- Coconut Matcha 🍵
สดชื่น เพียวมัทฉะเจ้มจ้น  !

⭐️โปรโมชั่นช่วงนี้
ซื้อเครืองดื่มครบ 150/บิล 👉🏻 รับฟรี! เคส
พร้อมยาดมมังกรทอง! (ของมีจํานวนจํากัดน้า)

sooth up the day ไปด้วยกัน

สามารถสั่งผ่าน ZUS App ✅ (ได้ทังแบบ pick up และ delivery) ✨

ZUS Coffee ทุกสาขา
ถึงวันที่  31 กรกฏาคม นี้ !!

#ZUScoffee #ZUScoffeeth",https://drive.google.com/drive/folders/1sw8Uss0J3P7gK6GriM8s1nYc3z4xOs-t,"0.00 - ZUS Coffee เขียนใช้ตัวพิมพ์ใหญ่แบบนี้แทน
0.09 - ออกเสียงว่า บัตเตอร์-เคร็ม","0.00 - ZUS Coffee เขียนใช้ตัวพิมพ์ใหญ่แบบนี้แทน
0.09 - ออกเสียงว่า บัตเตอร์-เคร็ม ",https://drive.google.com/file/d/1RPAHxD-Yvn3p2YOreVUyrAyCTEuW3YZ3/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCuRBvVB/
IG Reels: https://www.instagram.com/reel/DaP2KZkTJiS/
IG Post: https://www.instagram.com/reel/DaP2KZkTJiS/
IG Story: https://www.instagram.com/stories/jormorcute/3931603358091930094",Gen Code (TikTok): #vdPt/zX7yfw1MB5y+/wY8Wsb2JbGDictUu8nofhUY9tyCxBT41JQsrH6HHSkFEM=,920,22,10,8,10,765,20,1,1,0,0,,,,,
42,,goagain25,https://www.tiktok.com/@goagain25,"12,300",,,,,,TRUE,,,1,"Vanit Place อารีย์
28 มิ.ย. 69 - 17.00",,,,,,,,,,,,,"1,577",19,2,0,0,456,22,2,,-,-,,,,,
43,,miteen88,https://www.tiktok.com/@miteen88,"1,957",,,,,,TRUE,,,1,"บ้านก้ามปู (อโศก)
27 มิ.ย. 69 - 15.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
7,Done,captain.akb,https://www.tiktok.com/@captain.akb,"1,618",,,,,,TRUE,,TRUE,1,"Central พระราม 9
27 มิ.ย. 69 - 12.00",,https://drive.google.com/file/d/10wc8dcMW2Bxit_2daDFGl-_EVajcJE0Y/view?usp=drivesdk,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://www.tiktok.com/@captain.akb/video/7657768724652379399
IG Reels: https://www.instagram.com/reel/DaRn7RhJ5lq/",Gen Code (TikTok): #maEpX9CnGphhbUe82yKx74Y7VcNXPfyehO6Mrx862A90JyNlOiFaYdZh4jYXLKc=,261,19,0,2,0,956,24,0,2,0,0,,,,,
46,,jahismmm,https://www.tiktok.com/@jahismmm,"48,100",,,,,,TRUE,,,1,"Vanit Place อารีย์
28 มิ.ย. 69 - 12.00",,,,,,,,,,,,,812,69,1,0,2,"1,929",100,2,,-,-,,,,,
53,,famsrwpp,https://www.tiktok.com/@famsrwpp,"5,408",,,,,,TRUE,,,1,"Central พระราม 9
28 มิ.ย. 69 - 11.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
60,,jarurat.m,www.tiktok.com/@jarurat.m,"91,600",,,,,,TRUE,,,1,"SCB Park Plaza
27 มิ.ย. 69 - 12.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,หาแอคไม่เจอค่ะ,,,,
8,Done,minixx_t,https://www.tiktok.com/@minixx_t,"13,600",,,,,,TRUE,,TRUE,1,"Central พระราม 9
27 มิ.ย. 69 - 16.00","“ใครเป็นสายกาแฟ สายมัทฉะ หรือสายพกยาดมอยู่แล้ว ต้องรีบเลยนะ”

“โปรนี้มีที่ ZUS Coffee ทุกสาขา ตั้งแต่ 1 - 31 กรกฎาคม หรือจนกว่าของจะหมด”

“ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรีเคสพร้อมยาดมมังกรทอง 1 อัน”

“แนะนำสั่งผ่าน ZUS App ได้ทั้ง Pick Up และ Delivery สะดวกมาก”

“รีบไปก่อนของหมดนะ เพราะของแถมมีจำนวนจำกัด! 💙✨”",https://drive.google.com/drive/folders/1sxYkI4XNyeWEez58NldqadIP4xV0jFyd,"0.13 - ให้เขียนราคาแบบนี้ 150.- หรือ 150 บาท แทน
0.23 - เพิ่ม text 1-31 ก.ค. 69","0.13 - ให้เขียนราคาแบบนี้ 150.- หรือ 150 บาท แทน
0.23 - เพิ่ม text 1-31 ก.ค. 69",https://drive.google.com/drive/folders/1TCDpHTd8YMeD-aiueTqgu7oUyP-nd9wN,ผ่าน,ผ่าน,,,,"TikTok Video: https://www.tiktok.com/@minixx_t/video/7657801219481718036
IG Reels: https://www.instagram.com/p/DaR3U36y8gZ/",Gen Code (TikTok): #wYQL7AbUwzbbhDj/RwZWIet14E5vU5O7Tey9CLQ19dLdwolbpO+38dxmGEXUMIo=,"1,093",44,26,5,2,175,1,0,0,0,0,,,,,
62,,nannieeii,https://www.tiktok.com/@nannieeii,"3,543",,,,,,TRUE,,,1,"Central พระราม 9
27 มิ.ย. 69 - 17.00",,,,,,,,,,,,,-,-,-,-,-,875,3,4,,-,-,,,,,
69,,tuckiie_alynn_alan,https://www.tiktok.com/@tuckiie_alynn_alan,"1,200",,,,,,TRUE,,,1,"บ้านก้ามปู (อโศก)
27 มิ.ย. 69 - 13.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
9,Done,khunchom.__.p,https://www.tiktok.com/@khunchom.__.p,"15,600",,,,,,TRUE,,TRUE,1,"Central พระราม 9
27 มิ.ย. 69 - 16.00","🥥 เมนูใหม่อร่อยเกินคาด… แถมยังได้ของแถมลิมิเต็ดอีก! 💙✨

@zuscoffee.th

#zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1jpm_34ZH1Lr2N4jaw-0PJqtBue4k5NS_/view?usp=drivesdk,0.13 - ออกเสียงว่า บัตเตอร์-เคร็ม,0.13 - ออกเสียงว่า บัตเตอร์-เคร็ม,https://drive.google.com/file/d/1tc1LsljubPyD2hPtn05sAbjQD5z0FG08/view?usp=drivesdk,0.23 เปลี่ยนจาก ซุสคาเฟ่ เป็น ซุสคอฟฟี่ได้มั้ยคะ ,0.23 เปลี่ยนจาก ซุสคาเฟ่ เป็น ซุสคอฟฟี่ได้มั้ยคะ ,,,,"TikTok Video: https://vt.tiktok.com/ZSCCQwnrj/
IG Reels: https://www.instagram.com/reel/DaUXOJwSdWK/
IG Post: https://www.instagram.com/p/DaUXp1lknuA/
IG Story: https://www.instagram.com/stories/khunchom.__.p/3932874030454047729",Gen Code (TikTok): #5Q0NA54cKo+BcAYmP/3UGS0BkzeWH3B64BvLJeAYCvrVIBklGmmIJkakKGzvwzw=,426,31,0,13,33,508,3,0,0,0,0,,,,,
72,,enjoywithbear,https://www.tiktok.com/@enjoywithbear,"2,778",,,,,,TRUE,,,1,"Vanit Place อารีย์
28 มิ.ย. 69 - 13.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
10,Done,suparadajaaa,https://www.tiktok.com/@suparadajaaa,"12,400",,,,,,TRUE,,TRUE,1,"SCB Park Plaza
27 มิ.ย. 69 - 15.00","ร้อนๆ แบบนี้ มาเติมความสดชื่นที่ ZUS Coffee กัน! 🥥✨ ตอนนี้เค้ามีเมนู Coconut Series นัวๆ หอมละมุนมาก แถมรอบนี้เค้าคอลแลปกับ ""อ้วยอันโอสถ"" แจกฟรี! เคสพร้อมยาดมมังกรทองสีฟ้าสุดชิค 🐉💙 แค่สั่งเมนูอะไรก็ได้ในร้านครบ 150.- ต่อบิล 

รีบกดสั่งผ่าน Zus App หรือพุ่งตัวไปหน้าร้านด่วนๆ โปรมีถึง 31 ก.ค. นี้เท่านั้น! 🏃‍♀️💨
@zuscoffee.th #zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1-ryPY37wqpGqnJQLhOYAFATZjD5TdcuA/view?usp=drivesdk,"0.31 - เพิ่ม text ""Matcha Latte""
0.33 - เพิ่ม text ""Coconut Americano""

เสียงพูดเบาไปนิดนึง","0.31 - เพิ่ม text ""Matcha Latte""
0.33 - เพิ่ม text ""Coconut Americano""

เสียงพูดเบาไปนิดนึง",https://drive.google.com/file/d/1rv5iCVcKu0n6gbUi58_TJGHWZBwZj6wI/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCm4KNf2/
IG Reels: https://www.instagram.com/reel/DaPkyASTHUu/
IG Post: https://www.instagram.com/p/DaPl86Skx3w/
IG Story: https://www.instagram.com/stories/suparada_ka/3931523980641661720",Gen Code (TikTok): #ZCrF+ejtgChhxv+ZHEFNM9aSGWNkzpPiAkX1Jci6gayFZCGcSr94aH9KKvlSofo=,"1,855",168,3,4,14,"5,344",3,1,3,0,0,,,,,
75,,kimmyoiu,https://www.tiktok.com/@kimmyoiu,"10,100",,,,,,TRUE,,,1,"Vanit Place อารีย์
27 มิ.ย. 69 - 15.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
11,Done,wara.wsd,https://www.tiktok.com/@wara.wsd,"10,600",,,,,,TRUE,,TRUE,1,"Central พระราม 9
27 มิ.ย. 69 - 12.00",ZUS Coffee คอแลปกับยาดมแล้ว ✨ บอกเลยสดชื่นม้ากก แล้วยังอร่อยไปกับ Coconut Series อีกด้วย รีบไปกันเล้ยย #zuscoffee #zuscoffeeth,https://drive.google.com/drive/folders/1FmQ86QM53Sy5fRL6gNEo4RYHpAA7m-dW,"0.15 - พูดว่า รับฟรียาดมมังกรทอง
0.24 - เพิ่ม text ""ห้อยกระเป๋าน่ารักมาก""
0.26 - เพิ่ม text ""Coconut Americano""
0.31 - เพิ่ม text ""Coconut Matcha Latte""","0.15 - พูดว่า รับฟรียาดมมังกรทอง
0.24 - เพิ่ม text ""ห้อยกระเป๋าน่ารักมาก""
0.26 - เพิ่ม text ""Coconut Americano""
0.31 - เพิ่ม text ""Coconut Matcha Latte""",https://drive.google.com/drive/folders/1FmQ86QM53Sy5fRL6gNEo4RYHpAA7m-dW,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCmH8QF8/
IG Reels: https://www.instagram.com/reel/DaPgGHizoj3/
IG Post: https://www.instagram.com/reel/DaPgGHizoj3/
IG Story: https://www.instagram.com/stories/wara.wa/3931504458111120290",Gen Code (TikTok): #rqqiPtk/tZ0dXeqLaI6Nnxy5JSB9lG6MnL4U2wY86HKyLtrOh1iNNlBnXYNjGyA=,395,15,4,4,2,156,8,1,3,0,0,,,,,
77,,bestktsz,https://www.tiktok.com/@bestktsz,"20,100",,,,,,TRUE,,,1,"Central พระราม 9
27 มิ.ย. 69 - 17.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
80,,oilchanaporn,https://www.tiktok.com/@oilchanaporn,"4,505",,,,,,TRUE,,,1,"Vanit Place อารีย์
27 มิ.ย. 69 - 17.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
81,,wachiraphorntawar,https://www.tiktok.com/@wachiraphorntawar,"11,300",,,,,,TRUE,,,1,"Vanit Place อารีย์
27 มิ.ย. 69 - 16.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
84,,nutdemo6,https://www.tiktok.com/@nutdemo6,"52,200",,,,,,TRUE,,,1,"Vanit Place อารีย์
28 มิ.ย. 69 - 12.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
88,,sn.supanee,https://www.tiktok.com/@sn.supanee,"5,467",,,,,,TRUE,,,1,"Central พระราม 9
27 มิ.ย. 69 - 16.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
89,,acafeinmemories,https://www.tiktok.com/@acafeinmemories,"1,147",,,,,,TRUE,,,1,"Vanit Place อารีย์
27 มิ.ย. 69 - 15.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
90,,phanicha_64,https://www.tiktok.com/@phanicha_64,"154,400",,,,,,TRUE,,,1,"SCB Park Plaza
27 มิ.ย. 69 - 12.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
96,,howenika,https://www.tiktok.com/@howenika,"20,900",,,,,,TRUE,,,1,"บ้านก้ามปู (อโศก)
27 มิ.ย. 69 - 14:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
