                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
7,,nnamsom_,https://www.tiktok.com/@nnamsom_,"10,600",,,,,,TRUE,,,4,"Vanit Place อารีย์
12 ก.ค. 69 - 11.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
8,,jamjampeipei,https://www.tiktok.com/@jamjampeipei,"4,301",,,,,,TRUE,,,4,"Central พระราม 9
11 ก.ค. 69 - 17.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
2,Done,kaem.kon,https://www.tiktok.com/@kaem.kon,"5,140",,,,,,TRUE,,TRUE,4,"Vanit Place อารีย์
11 ก.ค. 69 - 17.00","โปรนี้ใกล้หมดแล้ววว 🥹✨

ใครยังไม่ได้ลอง Coconut Series ของ ZUS รีบเลย! ช่วงนี้ซื้อคู่กับยาอมอ้วยอัน รับส่วนลด 150 บาท (ผ่าน ZUS App) 💙 📍โปรถึง 31 ก.ค. 69 เท่านั้นนะ

#ZUSCoffeeTH #ZUSCoffee #อ้วยอันโอสถ#CoconutSeries",https://drive.google.com/file/d/1XVaxMFUhYyFUxmjEAZgkKTE20QwYa6Y2/view?usp=drivesdkI’m,"- เริ่มต้นคลิปด้วยวินาทีที่ 1.09 ตอนที่นั่งพูดว่าแถมยาดมแบบนี้ด้วย น่ารักมาก แล้วค่อยตัดเริ่มต้นคลิปแบบที่เริ่มมา
- 1.04 แก้ Text จากสิ้นเดือนนี้ เป็น 31 ก.ค. 69
- เติมเพลงสนุกๆคลอๆตลอดทั้งคลิป
","- เริ่มต้นคลิปด้วยวินาทีที่ 1.09 ตอนที่นั่งพูดว่าแถมยาดมแบบนี้ด้วย น่ารักมาก แล้วค่อยตัดเริ่มต้นคลิปแบบที่เริ่มมา
- 1.04 แก้ Text จากสิ้นเดือนนี้ เป็น 31 ก.ค. 69
- เติมเพลงสนุกๆคลอๆตลอดทั้งคลิป",https://drive.google.com/file/d/1rqUNsRXBmjQXS21S_dH3cfSDjD9eRujl/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://www.tiktok.com/@kaem.kon
IG Reels: https://www.instagram.com/reel/Da40L21Sijq/
IG Post: https://www.instagram.com/p/Da403WDklzB/
IG Story: https://www.instagram.com/stories/g4mme_/3943133397136332680",Gen Code (TikTok): #vvRuCGOsZdLvX3F8+tv6VMWXsjqGqUYJ7VUYadG7jGybu6lBkq9D72lAZYyj8Wc=,203,20,4,0,0,"1,810",61,1,1,0,0,
10,,g.gienck,https://www.tiktok.com/@g.gienck,"2,603",,,,,,TRUE,,,4,"Central พระราม 9
11 ก.ค. 69 - 17:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
3,Done,ploytc,https://www.tiktok.com/@ploytc,"1,133",,,,,,TRUE,,TRUE,4,"Vanit Place อารีย์
11 ก.ค. 69 - 12:00","เมื่อมีคนง่วง พามากินกาแฟแบบมดชื่น
ZUS Coffee เมนูที่เลิฟ Cocomut
Americano และ Buttercreme
Cocomut 🥥 อร่อยสดชื่น แถมได้ยาดมอีกด้วย หอมสดชื่น หายง่วงเลย ✨
#zuscoffee #ยาดมมังกรทอง #รีวิวคาเฟ่ #Cocomutamericano #ButtercremeCocomut",https://drive.google.com/file/d/1xBrU0zHV_XNiQQ1UhhP8QUW4mGa6WeFf/view?usp=drivesdk,"- 0.26/0.30 แก้ Text จาก Cocomut เป็น Coconut
- เติมเพลงสนุกๆคลอๆตลอดทั้งคลิป
- ขาดการเน้นย้ำเรื่อง โค้งสุดท้าย หรือโปรจะหมดแล้ว ให้รีบมา เป็นต้น","- 0.26/0.30 แก้ Text จาก Cocomut เป็น Coconut
- เติมเพลงสนุกๆคลอๆตลอดทั้งคลิป
- ขาดการเน้นย้ำเรื่อง โค้งสุดท้าย หรือโปรจะหมดแล้ว ให้รีบมา เป็นต้น",https://drive.google.com/file/d/1XYGnOApxoPO1zFPqi5ieMW7Lf0iqAVCn/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXy99h2k/
IG Reels: https://www.instagram.com/reel/Da34zyfP1yp/
IG Post: https://www.instagram.com/reel/Da34zyfP1yp/
IG Story: https://www.instagram.com/stories/ploytc/3942870831177102718",Gen Code (TikTok): #HZHklYYbnKGvGI3Pt4gA2pNfi83RZN70zhJ9FID8fAPxh0fWK0hzP8S55yi8eyI=,216,21,4,0,0,445,28,1,0,0,0,
4,Done,beam.ntkd,https://www.tiktok.com/@beam.ntkd,"5,890",,,,,,TRUE,,TRUE,4,"Vanit Place อารีย์
11 ก.ค. 69 - 12:00",เออ เพิ่งรู้ว่าโปรนี้จะหมดสิ้นเดือนแล้ว 🥹 เลยรีบกด ZUS เลย ลองเมนูมะพร้าวด้วย ชอบเกิน แล้วครบ 150 ก็ได้ยาดมมังกรทองของอ้วยอันฟรีอีก คุ้มเฉย,https://drive.google.com/file/d/13Ux3foOUrYn0lv418wqsTFPfk5iVLVSn/view?usp=drivesdk,"- 0.17 แก้ไข VO จากที่พูดว่า บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- เติมเพลงสนุกๆคลอๆตลอดทั้งคลิป
- 0.41 แก้ Text จากสิ้นเดือนนี้ เป็น 31 ก.ค. 69
","- 0.17 แก้ไข VO จากที่พูดว่า บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- เติมเพลงสนุกๆคลอๆตลอดทั้งคลิป
- 0.41 แก้ Text จากสิ้นเดือนนี้ เป็น 31 ก.ค. 69",https://drive.google.com/file/d/177EbKJoA2zkyVKEgkBn5pO-3lVwkJAlE/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXBxL28Y/
IG Reels: https://www.instagram.com/reel/DazHJItPkWp/
IG Post: https://www.instagram.com/p/Dazr2t7D2rl/
IG Story: https://www.instagram.com/p/Dazr2t7D2rl/",Gen Code (TikTok): #LM2P4EHAs4hJ9Lv1nkA5L/Medp5YYr1aBhXdgaKUivXF/Lfs0RB7KcJy8U9OE98=,"1,074",7,0,0,0,290,3,0,0,0,0,
13,,bbiabiako,https://www.tiktok.com/@bbiabiako,10.9K,,,,,,TRUE,FALSE,FALSE,,"Central พระราม 9
11/7/69, 13.00",,,,,,,,,,,,,,,,,,,,,,,,L
14,,ig.kantii.ii,https://www.tiktok.com/@ig.kantii.ii,"2,013",,,,,,TRUE,FALSE,FALSE,,"Vanit Place อารีย์
11/7/69, 13.00",,,,,,,,,,,,,,,,,,,,,,,,L
15,,miraclemusic65,https://www.tiktok.com/@miraclemusic65,"5,145",,,,,,TRUE,FALSE,FALSE,,"บ้านก้ามปู (อโศก)
11/7/69, 13.00",,,,,,,,,,,,,"3,776",82,10,9,5,202,9,0,,-,-,L
5,Done,gutarrr,https://www.tiktok.com/@gutarrr,11K,,,,,,TRUE,FALSE,TRUE,,"บ้านก้ามปู (อโศก)
11/7/69, 12.00","โปรใกล้หมดแล้ว! 🥤💙

วันนี้แวะมาลองคอลแลป ZUS Coffee x อ้วยอันโอสถ ที่ ZUS Coffee สาขาบ้านก้ามปู อโศก บอกเลยว่าดื่มง่าย สดชื่นกว่าที่คิด มีให้เลือกทั้งเมนูกาแฟและเมนูไม่กาแฟเลย ☕🥥

ช่วงนี้ยังมีโปร ซื้อครบ 150 บาท ผ่าน ZUS App รับยาดมอ้วยอันฟรี ด้วย ใครยังไม่ได้ลอง รีบแวะก่อนหมดโปรน้า ✨

📍 ZUS Coffee สาขาบ้านก้ามปู อโศก

#ZUSCoffee #อ้วยอันโอสถ #ZUSxOuayUn #SootheUpTheDay #รีวิวเครื่องดื่ม #CafeHopping #UGC #CoffeeLover",https://drive.google.com/drive/folders/11TQybQ_Vsbpnpuv21Rl-ZpLJzV-qGdDg,เสียงพูดเบา ให้เพิ่มเสียงพูด,เสียงพูดเบา ให้เพิ่มเสียงพูด,https://drive.google.com/drive/folders/11TQybQ_Vsbpnpuv21Rl-ZpLJzV-qGdDg,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXAVvELE/
IG Reels: https://www.instagram.com/reel/Da1jusSy2SU/
IG Post: https://www.instagram.com/p/Da1jA7WErbk/
IG Story: https://www.instagram.com/stories/kanta_pppp/3942213559019263612",Gen Code (TikTok): #D8YG4NLRczAgNp4sO+0PJO76+DoBzN07bCaxy81JXVuxiSQAMDQqXAvZZdR77+s=,"2,129",208,3,0,1,302,3,0,0,0,0,
17,,g_aisaree,https://www.tiktok.com/@g_aisaree,"2,237",,,,,,TRUE,FALSE,FALSE,,"Central พระราม 9
12/7/69, 12.00",,,,,,,,,,,,,,,,,,,,,,,,L
6,Done,doublefimph,https://www.tiktok.com/@doublefimph,"1,327",,,,,,TRUE,FALSE,TRUE,,"Vanit Place อารีย์
12 ก.ค. 69 - 14:00","#Zuscoffee 
หยุดเลื่อนก่อน!
ถ้ายังไม่เคยลอง Coconut Series ของ ZUS
นี่คือช่วงที่ควรลองที่สุด 🥥✨
เพราะมีโปรจับคู่กับ Ouay Un สูตรใหม่ด้วย
ส่วนตัวให้ผ่าน ดื่มแล้วเฟรชมากกก 💙

#ZUSCoffeeTH #OuayUn #SootheUpTheDay #CoconutSeries  #อร่อยบอกต่อ #TikTokพากิน #ของอร่อย  #โปรดีบอกต่อ",https://drive.google.com/drive/folders/1KSesH9Y0dsehxJMdR1uQKOOL1EyhKMvh,"- 0.07 แก้ Text จาก Grappe เป็น Grape
- 0.15 แก้ไข Text Buttercreme เขียนติดกัน Matcha ตัว M พิมพ์ใหญ่
- 0.15 แก้ไข VO จากที่พูดว่า บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- 0.30 แก้ Text จาก ร้อยห้าสิบบาท เป็น 150 บาท
- 0.45 เพิ่ม Text โปรหมด 31 ก.ค. 69
","- 0.07 แก้ Text จาก Grappe เป็น Frappe ค่ะ
- 0.15 แก้ไข Text Buttercreme เขียนติดกัน Matcha ตัว M พิมพ์ใหญ่
- 0.15 แก้ไข VO จากที่พูดว่า บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- 0.30 แก้ Text จาก ร้อยห้าสิบบาท เป็น 150 บาท
- 0.33 แก้คำว่าซูส เป็น ZUS 
- 0.45 เพิ่ม Text โปรหมด 31 ก.ค. 69",https://drive.google.com/file/d/1vOoNhhn5oitTOatSiKldOmt-gwJfx_dR/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://www.instagram.com/reel/Daz88F2J9_z/
IG Reels: https://www.instagram.com/reel/Daz88F2J9_z/
IG Post: https://www.instagram.com/reel/Daz88F2J9_z/
IG Story: https://www.instagram.com/stories/orr.______/3943053386731575007",Gen Code (TikTok): #VxfUNnOwcbHqBQ6QgFXSxZ8nyATPaKeYnHeaJyqjkaxELwws31lJk+LAYxsjfaI=,717,21,4,0,5,712,3,2,3,0,0,
19,,minddyspm,https://www.tiktok.com/@minddyspm,"1,133",,,,,,TRUE,FALSE,FALSE,,"บ้านก้ามปู (อโศก)
11 ก.ค. 69 - 11:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
20,,hajoon_nw,https://www.tiktok.com/@hajoon_nw,"1,571",,,,,,TRUE,FALSE,FALSE,,"Central พระราม 9
11 ก.ค. 69 - 14:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
7,Done,babyyelly,https://www.tiktok.com/@babyyelly,"1,506",,,,,,TRUE,FALSE,TRUE,,"บ้านก้ามปู (อโศก)
11 ก.ค. 69 - 12:00","Zus coffee x ยาดมตรามังกรทองของอ้วยอนกับเมนูใหม่ล่าสุด coconut series และโปรโมชั่นตอนนี้ คือ ซื้อเครื่องดื่มเมนูใดก็ได้ครบ 150 บาท รับฟรีเคสพร้อมยาดมมังกรทอง โปรมีถึงวันที่ 31 กรกฎาคมนี้เท่านั้นนะ

#zuscoffee #ยาดมอ้วนอันโอสถ #zuscoffeeth #sootheuptheday #ยาดมมังกรทอง",https://drive.google.com/drive/folders/1OWDzx2LMYdhRPb4lGs0hVZkjpZxfgMMa,- 0.30 เพิ่ม Text สั่งผ่าน ZUS APP,"- 0.30 เพิ่ม Text สั่งผ่าน ZUS APP
- 0.56 บัตเตอร์เคร็มเขียนติดกันค่า",https://drive.google.com/drive/folders/1OWDzx2LMYdhRPb4lGs0hVZkjpZxfgMMa,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXDobqBe/
IG Reels: https://www.instagram.com/reel/Da0YcefTEKo/
IG Post: https://www.instagram.com/p/Da2aom0k1hM/
IG Story: https://www.instagram.com/stories/baby_yelly/3941807600069462004",Gen Code (TikTok): #L5DNiIiWssE7zjC7tqeaK7e34YzWQVN3Immr+Cz0azLseDCCDn0O0Il2ukRg64g=,"1,579",19,2,3,5,253,3,1,5,0,0,
22,,acafeinmemories,https://www.tiktok.com/@acafeinmemories,"1,147",,,,,,TRUE,,,1,"Vanit Place อารีย์
11 ก.ค. 69 - 15:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
23,,anny_girlz7,https://www.tiktok.com/@anny_girlz7,165,,,,,,TRUE,FALSE,FALSE,,"Vanit Place อารีย์
11 ก.ค. 69 - 13.00",,,,,,,,,,,,,,,,,,,,,,,,L
8,Done,fangpanisara,https://www.tiktok.com/@fangpanisara,"2,721",,,,,,TRUE,FALSE,TRUE,,"บ้านก้ามปู (อโศก)
11/7/69, 13.00","Today’s Matcha Vlog 🍵💚
วันนี้ออกตามหามัทฉะ แต่ได้ความสดชื่นกลับมาแบบ x2 ✨

ซื้อเครื่องดื่มเมนูใดก็ได้ครบ 150 บาท รับฟรี! เคสพร้อมยาดม

📅 1–31 ก.ค. 69 หรือจนกว่าสินค้าจะหมด",https://drive.google.com/drive/folders/1mNQMziC2ghguS1vRcVv7s1SlrOkFBF5t,ผ่าน,"
ผ่าน
",,,,,,,"TikTok Video: https://vt.tiktok.com/ZSXSmg41U/
IG Reels: https://www.instagram.com/reel/Daxtl98zzgb/
IG Post: https://www.instagram.com/p/Da0WPNCE0ei/
IG Story: https://drive.google.com/drive/folders/1nY11-r-LGscMQek0jNy8y8MZ8ctnaAT3",Gen Code (TikTok): #NTLM3aOrqpj9dQ5JRBuGMRZwJ5uC9VKwHmBx0tXEjyBZUWPBQwxp54LwoP2utXU=,576,45,2,3,3,751,29,2,2,0,0,
25,,milkmilkpoochitpa,https://www.tiktok.com/@milkmilkpoochitpa,14.5K,,,,,,TRUE,FALSE,FALSE,,"บ้านก้ามปู (อโศก)
11/7/69, 13.00",,,,,,,,,,,,,"3,453",129,11,5,42,"1,154",68,32,,-,-,L
9,Done,domewnic,https://www.tiktok.com/@domewnic,"1,158",,,,,,TRUE,FALSE,TRUE,,"Vanit Place อารีย์
12/7/69, 13.00","ป้ายยาร้านกาแฟราคาแบบนี้ ☕️
พี่นั่งทำงานได้ทั้งวัน

แนะนำให้ลองสั่งเมนู Coconut Series จ้า
สดชื่น อร่อย สั่งครบ 150 บาท ได้ยาดมแถมด้วย

#ป้ายยาคาเฟ่ #คาเฟ่กทม #ZUSCoffee",https://drive.google.com/drive/folders/1sUXd9pyXF_fbhurChBrbOY-j-amjp_Tp,"เอา Version 2 ค่า
0.41 - Series เขียนผิดค่า","เอา Version 2 ค่า
0.41 - Series เขียนผิดค่า",https://drive.google.com/file/d/1cLtgNW-M3iGUGfLGf0XIk8a3Gp_26yPQ/view?usp=share_link,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXfukvuo/
IG Reels: https://www.instagram.com/reel/Da2-F5Pzewi/
IG Post: https://www.instagram.com/reel/Da1kiHUzoiK/
IG Story: https://drive.google.com/file/d/1KMo54VBE_0dg_lPT_G20go_W6zzyFabX/view",Gen Code (TikTok): #yf/VSFTl4qqlFftDmg8eFARVXirmfV72Go4HUYXt86YQ7rqUS8cG4298r86TaHY=,"1,469",24,3,4,2,"1,230",61,4,0,0,0,
27,,icicly,https://www.tiktok.com/@icicly,"1,323",,,,,,TRUE,FALSE,FALSE,,"Central พระราม 9
11/7/69, 13.00",,,,,,,,,,,,,,,,,,,,,,,,L
10,Done,nomyomost,https://www.tiktok.com/@nomyomost,10.5K,,,,,,TRUE,,TRUE,,"บ้านก้ามปู (อโศก)
11 ก.ค. 69 - 12:00",,https://drive.google.com/drive/folders/1smfGGkeLbe_EeEPh4vu-q02ixbfm2n39,- เริ่มคลิปตอน 0.19 แก้แล้วผ่าน,,https://drive.google.com/drive/folders/1smfGGkeLbe_EeEPh4vu-q02ixbfm2n39,- เริ่มคลิปตอน 0.19 แก้แล้วผ่าน,- เริ่มคลิปตอน 0.19 แก้แล้วผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXfBwr3o/
IG Reels: https://www.instagram.com/reel/Daz_Vr3zFFj/
IG Post: https://www.instagram.com/p/Daz-VN2E5Fk/
IG Story: https://www.instagram.com/stories/nomyomost/3939506071186678050",Gen Code (TikTok): #4n8Xl4hZlWnIAt3ewsO4JuO781NJyq/t3J9S+rqtsgzbsLhuAJ1YHIEAgqUdeEk=,169,11,0,0,0,"1,244",3,2,1,0,0,
11,Done,chachuu.09,https://www.tiktok.com/@chachuu.09,"1,608",,,,,,TRUE,,TRUE,,"SCB Park Plaza
11/7/69, 14.30","คอแลปที่ทำถึงเกิน! ZUS Coffee x ยาดมมังกรทอง 💙✨
แค่สั่งเมนูไหนก็ได้ในแอป ZUS ครบ 150.- รับฟรี! ยาดมรุ่นลิมิเต็ดสีน้ำเงินสุดคิ้วท์ 🥥☕️ สดชื่นสมชื่อ Soothe Up The Day!
โปรนี้มีถึงแค่ 31 ก.ค. 69 เท่านั้น รีบกดสั่งผ่านแอป ZUS Coffee ด่วนเลย!
#ZUSCoffeeTH #ยาดมมังกรทอง #SootheUpTheDay #คาเฟ่ #fyp",https://drive.google.com/file/d/1bLe_Jd7hIazr1pl0M0FPKQhEkMMWpuKZ/view?usp=sharing,ผ่าน,"0.25 - เพิ่ม text ""Americano"" เขียนผิดค่ะ",https://drive.google.com/file/d/1AE-4EQuMC5wyU9U-pvsfOZsQdctUoAoC/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXfUgWU1/
IG Reels: https://www.instagram.com/reel/Da2cSBspvSp/
IG Post: https://www.instagram.com/p/Da4eA_eCemw/
IG Story: https://www.instagram.com/stories/chachuu.isme/3943033868814739952",Gen Code (TikTok): #cWe7c2nbY0RmSabRnHY2VITZ4UHpz+lfQHP97oZpMkNE4XGNuhNoPslVaDy2eYM=,236,18,1,5,0,917,39,0,2,0,0,
12,Done,real_opor,https://www.tiktok.com/@real_opor,"6,269",,,,,,TRUE,,TRUE,,"Vanit Place อารีย์
12 ก.ค. 69 - 14:30",ใครเป็นสายมะพร้าว ต้องไปลอง Coconut Series ของ ZUS 🌴🥥 สดชื่นมากกก แถมตอนนี้ยังมีโปรพิเศษด้วย รีบไปก่อนหมดโปรน้า 🤍☕️,https://drive.google.com/drive/folders/1ClKviVZiDJKE5wwZ0P8aE_Y4yZWpqPFb,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSXhMgak5/
IG Reels: https://www.instagram.com/reel/DaxRj1PJc0v/
IG Post: https://www.instagram.com/p/DaxDNPaiaRH/
IG Story: https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTg4NDk2ODY1NjQ5Mzk4",Gen Code (TikTok): #HD0ePWZDB1Yc3zIDbi5AyAfP/inwIU26jmSoReTMRCyOUw1BiT9T8eKqm5dIGN8=,789,45,2,1,1,"1,512",3,6,1,0,0,
31,,bestyycnk,https://www.tiktok.com/@bestyycnk,"1,020",,,,,,TRUE,,,,"Vanit Place อารีย์
12 ก.ค. 69 - 14:00",,,,,,,,,,,,,,,,,,,,,,,,L
13,Done,mmayu.m,https://www.tiktok.com/@mmayu.m,"5,336",,,,,,TRUE,FALSE,TRUE,,"Central พระาม 9
11/7/69 - 14.00",,https://drive.google.com/drive/folders/19DIgsalCVIElrSYmJGueGDR4NQurMOyk,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSXrT4Xnp/
IG Reels: https://s.lemon8-app.com/s/GgMyYNTTwf
IG Post: https://s.lemon8-app.com/s/GgMyYNTTwf
IG Story: https://s.lemon8-app.com/s/GgMyYNTTwf",Gen Code (TikTok): #AJMT61hqZbhf1gVl1p4Oqd7vJneJ704g68CaSLQG5nYS2x1P4E4sRYUyFx2NxPM= ,745,40,8,3,4,276,2,0,0,0,1,ขอลง Lemon8 แทน IG
14,Done,ymieyamz,https://www.tiktok.com/share/user/6805235014708954113,10.6K,,,,,,TRUE,FALSE,TRUE,,"บ้านก้ามปู (อโศก)
11 ก.ค. 69 - 15:00"," วันนี้ได้ทั้งเครื่องดื่ม ได้ทั้งยาดม 🥥✨ ใครเป็นสายมะพร้าว ลอง Coconut Series ของ ZUS ได้เลย!

#ZUSCoffeeTH #ZUSCoffee #CoconutSeries #อ้วยอันสูตรมังกรทอง #CoconutMatcha
",https://drive.google.com/drive/folders/1n8E3YQxfPhpj5QIFbRM9t3yCckUio8Nm,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSXHeN4TS/
IG Reels: https://fb.watch/IrWmn51WJC/
IG Post: https://m.facebook.com/story.php
IG Story: https://www.instagram.com/stories/ymieyam/3944373185714311735",Gen Code (TikTok): #u73LFhandDqJSimG9tapVWUuTZ5l2kCoE0ZtPU6bKdQbeJJWpuONREVlKdYK4lU=,436,41,6,9,1,482,6,0,0,0,0,
15,,pluem.npt,https://www.tiktok.com/@pluem.npt,"1,129",,,,,,TRUE,FALSE,FALSE,,"Central พระราม 9
12 ก.ค. 69 - 16:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
